ID,Key,String
5859606171648,TITLE0BEGINNER_RANK,{GENDER1:cond:=1?地灵使|=0?地灵使}
5859656503296,TITLE0BEGINNER_RANK_DESCR,{CHARACTER1}与大地拥有深厚的羁绊，{GENDER1:cond:=1?他|=0?她}天生便能感知自然之力，轻而易举地塑造着周围的世界。
5859660697600,TITLE0INTERMEDIATE_RANK,{GENDER1:cond:=1?大地震撼者|=0?大地震撼者}
5859660697601,TITLE0INTERMEDIATE_RANK_DESCR,"{CHARACTER1}已熟练掌握对大地的操控之力，{GENDER1:cond:=1?他|=0?她}能够制造地震、裂谷与震颤，令大地根基为之颤抖。"
5859664891904,TITLE0END_RANK,{GENDER1:cond:=1?大地贤者|=0?大地女祭司}
5859664891905,TITLE0END_RANK_DESCR,"{CHARACTER1}是一位拥有无与伦比力量与技巧的法师，{GENDER1:cond:=1?他|=0?她}对土元素的掌控能力令所有觊觎这股力量的人艳羡不已。只需挥手之间，{GENDER1:cond:=1?他|=0?她}便能召唤地震，拔地成峰，随心所欲地塑造大地的形态。"
5859664891906,TITLE1BEGINNER_RANK,{GENDER1:cond:=1?织霜者|=0?织霜者}
5859664891907,TITLE1BEGINNER_RANK_DESCR,"{CHARACTER1}展现了对冰元素非凡的掌控力，能够编织出美丽而致命的冰之魔法，优雅与杀意兼具。"
5859664891908,TITLE1INTERMEDIATE_RANK,{GENDER1:cond:=1?冰霜术士|=0?冰霜女巫}
5859664891909,TITLE1INTERMEDIATE_RANK_DESCR,"{CHARACTER1}统治着寒冰的领域，既美丽又致命。{GENDER1:cond:=1?他|=0?她}对冰元素的掌控令敌人为之敬畏。"
5859664891910,TITLE1END_RANK,{GENDER1:cond:=1?霜寒之王|=0?冰霜女皇}
5859664891911,TITLE1END_RANK_DESCR,"{CHARACTER1}拥有无可匹敌的冰之力量，仅凭{GENDER1:cond:=1?他|=0?她}的存在便足以冻结空气，而{GENDER1:cond:=1?他|=0?她}冰冷的凝视能冻结最勇敢的心灵。"
5859664891912,TITLE2BEGINNER_RANK,{GENDER1:cond:=1?迅捷巫师|=0?迅捷女巫}
5859664891913,TITLE2BEGINNER_RANK_DESCR,"{CHARACTER1}施展魔法的速度少有人及，精准迅捷的手势令敌人防不胜防。"
5859664891914,TITLE2INTERMEDIATE_RANK,{GENDER1:cond:=1?疾风咒术师|=0?疾风女巫}
5859664891915,TITLE2INTERMEDIATE_RANK_DESCR,"{CHARACTER1}已精通急速施法，法术瞬息成型，手法快到敌人无法察觉。当敌人以为有空隙时，必将遭受致命打击。"
5859664891916,TITLE2END_RANK,{GENDER1:cond:=1?沉默法师|=0?寂静女巫}
5859664891917,TITLE2END_RANK_DESCR,"{CHARACTER1}施法无需咒语或手势，一个念头即可释放法术。若轻视了{GENDER1:cond:=1?他|=0?她}，可能仅凭一个眼神便被化作灰烬。"
5859664891918,TITLE3BEGINNER_RANK,{GENDER1:cond:=1?药剂奇才|=0?药剂奇才}
5859664891919,TITLE3BEGINNER_RANK_DESCR,"{CHARACTER1}的身体能异常地吸收炼金药剂的力量，极少有人能承受如{GENDER1:cond:=1?他|=0?她}一般的药剂效力。"
5859664891920,TITLE3INTERMEDIATE_RANK,{GENDER1:cond:=1?变异者|=0?变异者}
5859664891921,TITLE3INTERMEDIATE_RANK_DESCR,"{CHARACTER1}服用药剂无数，身体产生了永久变化，获得了超越凡人的力量、速度与耐力。"
5859664891922,TITLE3END_RANK,{GENDER1:cond:=1?变异炼金师|=0?变异炼金师}
5859664891923,TITLE3END_RANK_DESCR,"变异炼金师尝遍世间药剂，成为炼金术大师，能制作只有自己能承受的强大药剂。"
5859664891924,TITLE4BEGINNER_RANK,{GENDER1:cond:=1?奥术破坏者|=0?奥术破坏者}
5859664891925,TITLE4BEGINNER_RANK_DESCR,"{CHARACTER1}以对奥术的致命掌控闻名于世，其魔法杀伤力鲜有人及。"
5859664891926,TITLE4INTERMEDIATE_RANK,{GENDER1:cond:=1?奥术风暴|=0?奥术风暴}
5859664891927,TITLE4INTERMEDIATE_RANK_DESCR,"奥术艺术以其致命力量闻名，但很少有人像{CHARACTER1}一样完美体现其毁灭性力量。"
5859664891928,TITLE4END_RANK,{GENDER1:cond:=1?奥术湮灭者|=0?奥术湮灭者}
5859664891929,TITLE4END_RANK_DESCR,"{CHARACTER1}是奥术力量的终极体现，举手投足之间便能摧毁整支军队。"
5859664891930,TITLE5BEGINNER_RANK,{GENDER1:cond:=1?屠夫|=0?血色少女}
5859664891931,TITLE5BEGINNER_RANK_DESCR,"{CHARACTER1}所到之处，必留血流成河，敌友皆惧。"
5859664891932,TITLE5INTERMEDIATE_RANK,{GENDER1:cond:=1?嗜血者|=0?嗜血女武神}
5859664891933,TITLE5INTERMEDIATE_RANK_DESCR,"{CHARACTER1}已成为嗜血的化身，以敌人的鲜血染红了战场，成为“只要能流血就能被杀死”的终极象征。"
5859664891934,TITLE5END_RANK,{GENDER1:cond:=1?血色收割者|=0?血色收割者}
5859664891935,TITLE5END_RANK_DESCR,"{CHARACTER1}手持染血的武器，每一击都会放尽敌人鲜血与生命。"
5859664891936,TITLE6BEGINNER_RANK,{GENDER1:cond:=1?勇者|=0?勇者}
5859664891937,TITLE6BEGINNER_RANK_DESCR,"无论挑战多么危险，{CHARACTER1}从不退缩，勇往直前。"
5859664891938,TITLE6INTERMEDIATE_RANK,{GENDER1:cond:=1?狮心勇士|=0?狮心勇士}
5859664891939,TITLE6INTERMEDIATE_RANK_DESCR,"{CHARACTER1}从不退却，勇气令人敬佩，激励着所有目睹者。"
5859664891940,TITLE6END_RANK,{GENDER1:cond:=1?冠军|=0?冠军}
5859664891941,TITLE6END_RANK_DESCR,"所有人都会恐惧，但{CHARACTER1}已经不再如此。"
5859664891942,TITLE7BEGINNER_RANK,{GENDER1:cond:=1?坚韧者|=0?坚韧者}
5859664891943,TITLE7BEGINNER_RANK_DESCR,"很少有人能像{CHARACTER1}一样承受如此多的攻击，无论倒下多少次都会重新站起。"
5859664891944,TITLE7INTERMEDIATE_RANK,{GENDER1:cond:=1?不屈者|=0?不屈者}
5859664891945,TITLE7INTERMEDIATE_RANK_DESCR,"敌人多次尝试击倒{CHARACTER1}，但都以失败告终。"
5859664891946,TITLE7END_RANK,{GENDER1:cond:=1?不死者|=0?不死者}
5859664891947,TITLE7END_RANK_DESCR,"{CHARACTER1}在战场上几乎无法被击杀，顽强与强大使敌人敬畏不已。"
5859664891948,TITLE8BEGINNER_RANK,{GENDER1:cond:=1?圣光战士|=0?圣光战士}
5859664891949,TITLE8BEGINNER_RANK_DESCR,"世间邪恶横行，而{CHARACTER1}立誓将其彻底铲除。{GENDER1:cond:=1?他|=0?她}的热诚与决心是黑暗世界中闪耀的一道曙光。"
5859664891950,TITLE8INTERMEDIATE_RANK,{GENDER1:cond:=1?神圣守护者|=0?神圣守护者}
