ID,Key,String
71988129792,ENDURANCE,耐力
145640108032,STRENGTH,力量
252112515072,DEXTERITY,敏捷
362233966592,INTELLIGENCE,智力
453132922880,WISDOM,智慧
877130919936,WILLPOWER,意志
61376421453606912,STRENGTH_SHORT_LABEL,STR
61376652979187712,DEXTERITY_SHORT_LABEL,DEX
61376862425952256,INTELLIGENCE_SHORT_LABEL,INT
61377079917391872,ENDURANCE_SHORT_LABEL,END
61377426211713024,WISDOM_SHORT_LABEL,WIS
61377636354732032,WILLPOWER_SHORT_LABEL,WP
61741297774604288,ENDURANCE_TOOLTIP,"耐力是角色健康和韧性的衡量标准。
每增加5点，HP总量增加2点，毒素抵抗增加1点。"
