ID,Key,String
167500820480,MAGICAL_ATTACK_BONUS_SHORT,MAB
782324460662784,PHYSICAL,物理
783699152187392,MAGICAL,魔法
50004227727986688,ACCURACY,命中
50004612857368576,CRIT,暴击
50004774400987136,DODGE,闪避
50004871704645632,BLOCK,格挡
50258828825890816,INITIATIVE,先手
50258921297711104,BRAVERY,勇气
50259843595800576,PHYSICAL_ATTACK,物理攻击
50260043236282368,MAGICAL_ATTACK,魔法攻击
50260988439465984,PHYSICAL_RESISTANCE,物理抗性
50264409032790016,BLEEDING_RESISTANCE,出血抗性
50264529547726848,POISON_RESISTANCE,毒素抗性
50264657155231744,MIND_RESISTANCE,精神抗性
50264881726656512,LIGHTNING_RESISTANCE,雷电抗性
50264997460086784,EARTH_RESISTANCE,土抗性
50265124153233408,FIRE_RESISTANCE,火抗性
50265245624471552,ICE_RESISTANCE,冰抗性
50265365501874176,HOLY_RESISTANCE,神圣抗性
50266004747358208,DARK_RESISTANCE,黑暗抗性
50266116085157888,DEATH_RESIST,死亡抗性
50266465168691200,HITPOINTS,生命值
50266561469911040,SP,SP
50266930887430144,MOVEMENT,移动
50267032486055936,AP,AP
50267228519436288,HEAL_POTENCY,治疗效果
50267299856158720,BLEED_CHANCE,出血几率
50267469469618176,STUN_CHANCE,眩晕几率
50267561693974528,FIRE_POTENCY,火焰效果
50267678249488384,LIGHTNING_POTENCY,雷电强度
50267790778470400,EARTH_POTENCY,土壤强度
50267878917574656,ICE_POTENCY,冰霜强度
50267996953677824,HOLY_POTENCY,神圣强度
50268161609469952,DARK_POTENCY,黑暗强度
50268258783105024,MAGIC_POTENCY,魔法强度
50268434834821120,POISON_CHANCE,中毒几率
50268551184814080,BLEEDING,出血
50268641941164032,POISON,中毒
50268756156256256,HEALING_RECEIVED,治疗量
50268841254490112,LEVEL,等级
50268958443343872,POISON_DURATION,中毒持续时间
50269063514853376,BLEEDING_DURATION,出血持续时间
50269201163522048,PHYSICAL_PENETRATION,物理穿透
50269299729666048,MAGICAL_PENETRATION,魔法穿透
50269478872584192,FIRE_PENETRATION,火焰穿透
50269575555485696,LIGHTNING_PENETRATION,雷电穿透
50269722297405440,EARTH_PENETRATION,土地穿透
