ID,Key,String
453409746944,ALL_OR_NOTHING,孤注一掷
546032562176,ALL_OR_NOTHING_DESCR,逃离战斗会导致任务失败
11694496788480,RAIN_OF_ARROWS,箭雨
11795365605376,RAIN_OF_ARROWS_DESCR,"每回合开始时，将随机选择一名盟友周围的3x3区域。在回合结束时，一波箭雨落下，对该区域内的所有人造成16-24点物理伤害。"
12115663630336,EXPLOSIVE_BARRELS,爆炸桶
12607038926848,EXPLOSIVE_BARRELS_DESCR,每个冒险者可以在战场上召唤1个爆炸桶。
12771627610112,NO_RETREAT,无法撤退
13067141492736,NO_RETREAT_DESCR,冒险者无法从战斗中逃跑。
13277422923776,DEATH_WARD,死亡守护
13397749116928,DEATH_WARD_DESCR,所有冒险者的死亡抗性增加10点。
15706260484096,ENDLESS_REINFORCEMENT,无尽增援
16002223157248,ENDLESS_REINFORCEMENT_DESCR,每隔数回合将持续有敌人增援，直到所有当前敌人被击败或（如果存在BOSS）BOSS被击败。
1099345118007296,NIGHT_TIME,夜晚
1099545060478976,NIGHT_TIME_DESCR,所有战斗者的命中降低20，拥有真视效果的角色不受影响。
1100095063756800,RAIN,降雨
1100167478415360,RAIN_DESCR,每回合开始时，所有战斗者都会获得潮湿状态。
1100435569938432,SNOW_STORM,暴风雪
1100507657441280,SNOW_STORM_DESCR,每回合开始时，所有战斗者都会获得寒冷状态，远程技能的射程减少1。
1100739145273344,SPIDER_INFESTATION,蜘蛛肆虐
1100867193180160,SPIDER_INFESTATION_DESCR,战斗开始时，会在随机位置出现若干蜘蛛卵（等级1）。
1101421659197440,THUNDERSTORM,雷暴
1101520577662976,THUNDERSTORM_DESCR,"每回合开始时随机选定若干地块。回合结束时，闪电劈下，对被选中区域的所有人造成<color=lightblue>16-24</color>点雷电伤害，并有100%的基础几率对目标施加<color=lightblue>震击</color>状态。"
1608041422032896,SHADOW_REALM,暗影领域
1608210653810688,SHADOW_REALM_DESCR,死神可以瞬间移动到任意位置并始终保持隐身状态。
49251490832748544,BARRICADES_DESCR,所有冒险者每场战斗都可使用一次召唤具有保护光环的路障的技能。
49252917315538944,BARRICADES,路障
49253168051032064,BELEPHEGOR_CURSE,贝勒菲戈的怠惰诅咒
49253342450192384,BELEPHEGOR_CURSE_DESCR,"每回合开始时，每名冒险者都会获得一层<color=orange>{SLOTH}</color>状态，使最大生命值和造成的伤害各降低5%，最多可叠加19层且无法移除。"
49255239743606784,ENEMY_BOMBARDMENT,敌人炮击
49255522825572352,ENEMY_BOMBARDMENT_DESCR,"每回合开始时随机选择一名盟友周围的3x3区域。回合结束时炮弹落下，对该区域内所有人造成16-24点物理伤害。"
49256084363186176,HOLY_SUPPORT,圣光支援
49256550606213120,HOLY_SUPPORT_DESCR,每回合在随机冒险者旁召唤一个小光球，互动后可为所有人恢复BP。
49257225301954560,FIRESTORM,火焰风暴
49257292482121728,FIRESTORM_DESCR,"每回合开始时随机选择一名盟友周围的3x3区域。回合结束时火球落下，对该区域内所有人造成<color=red>32-48</color>点火焰伤害。"
49257527535112192,TIME_LIMIT,时间限制
49257687912714240,TIME_LIMIT_DESCR,"如果战斗超过{INTVALUE}回合，你将失败。"
49258110472065024,NON_LETHAL,非致命
49258268538605568,NON_LETHAL_DESCR,冒险者生命值降到0时不会死亡，但仍将退出任务。
49260413996404736,HIDDEN_SUPPLIES,隐藏补给
49261290727575552,HIDDEN_SUPPLIES_DESCR,"所有冒险者每场战斗都可使用一次恢复HP、SP和BP的技能。"
49974140332838912,QUESTMAPEFFECT0,孤注一掷
49974140366393344,QUESTMAPEFFECT0_DESCR,逃离战斗将导致任务失败。
49974140366393345,QUESTMAPEFFECT1,路障
49974140366393346,QUESTMAPEFFECT1_DESCR,所有冒险者每场战斗都能获得一次召唤具有保护光环的路障的技能。
49974140366393347,QUESTMAPEFFECT2,无法撤退
49974140366393348,QUESTMAPEFFECT2_DESCR,冒险者无法逃离战斗。
49974140366393349,QUESTMAPEFFECT3,轻微诅咒
49974140366393350,QUESTMAPEFFECT3_DESCR,队伍受到轻微诅咒影响，在整个任务中命中和闪避降低5。
49974140366393351,QUESTMAPEFFECT4,黑暗之地
49974140366393352,QUESTMAPEFFECT4_DESCR,"这里光线极为昏暗

，降低15点全局命中，提升30点全局暴击。"
49974140366393353,QUESTMAPEFFECT5,死亡守护
49974140366393354,QUESTMAPEFFECT5_DESCR,所有冒险者在战斗中获得+10死亡抗性。
49974140366393355,QUESTMAPEFFECT6,无尽增援
49974140366393356,QUESTMAPEFFECT6_DESCR,每隔数回合都会有敌人增援，直到所有敌人或（若存在BOSS）BOSS被击败为止。
49974140366393357,QUESTMAPEFFECT7,敌人炮击
49974140366393358,QUESTMAPEFFECT7_DESCR,"战斗中每回合开始时随机选定一名盟友周围的3x3区域，回合结束时炮弹落下，对区域内所有人造成24-36点物理伤害及24-36点火焰伤害。"
49974140366393359,QUESTMAPEFFECT8,知识的祝福
49974140366393360,QUESTMAPEFFECT8_DESCR,冒险者获得的经验值增加{POTENCY}%。
49974140366393361,QUESTMAPEFFECT9,繁荣的祝福
49974140366393362,QUESTMAPEFFECT9_DESCR,随机生成的战利品价值上限提高{POTENCY}%。
49974140366393363,QUESTMAPEFFECT10,资源丰富
49974140366393364,QUESTMAPEFFECT10_DESCR,此地有丰富的可收集资源。
49974140366393365,QUESTMAPEFFECT11,财富遍地
49974140366393366,QUESTMAPEFFECT11_DESCR,此地遍布勇敢冒险者可获得的财富。
49974140366393367,QUESTMAPEFFECT12,陷阱密布
49974140366393368,QUESTMAPEFFECT12_DESCR,此地布满了陷阱，行动时需格外小心。
49974140366393369,QUESTMAPEFFECT13,神圣指引
49974140366393370,QUESTMAPEFFECT13_DESCR,所有属性检定获得+{POTENCY}修正。
49974140366393371,QUESTMAPEFFECT14,生机勃勃
49974140366393372,QUESTMAPEFFECT14_DESCR,此地充满了可供狩猎以求生存的动物。
49974140366393373,QUESTMAPEFFECT15,精英密集
49974140366393374,QUESTMAPEFFECT15_DESCR,此地出现的精英战斗更多。
49974140366393375,QUESTMAPEFFECT16,夜晚
49974140366393376,QUESTMAPEFFECT16_DESCR,所有角色命中降低20点，敌人在任务地图上超过2格距离无法发现你。
49974140366393377,QUESTMAPEFFECT17,禁止露营
49974140366393378,QUESTMAPEFFECT17_DESCR,任务期间禁止露营且不消耗体力。
49974140366393379,QUESTMAPEFFECT18,非致命
49974140366393380,QUESTMAPEFFECT18_DESCR,冒险者在此任务中不会死亡，但HP降到0时仍会退出任务。
49974140366393381,QUESTMAPEFFECT19,降雨
49974140366393382,QUESTMAPEFFECT19_DESCR,"此地持续降雨，每回合开始时所有角色获得潮湿状态。"
49974140366393383,QUESTMAPEFFECT20,暴风雪
49974140366393384,QUESTMAPEFFECT20_DESCR,"此地持续下雪，每回合开始时所有角色获得寒冷状态。"
49974140366393385,QUESTMAPEFFECT21,噩梦之音
49974140366393386,QUESTMAPEFFECT21_DESCR,此地令人毛骨悚然，冒险者偶尔会在旅行中损失BP。
49974140366393387,QUESTMAPEFFECT22,隐藏补给
49974140366393388,QUESTMAPEFFECT22_DESCR,"所有冒险者每场战斗都可使用一次恢复HP、SP和BP的技能。"
49974140366393389,QUESTMAPEFFECT23,敌人密集
49974140366393390,QUESTMAPEFFECT23_DESCR,此地充斥着大量敌对遭遇。
49974140366393391,QUESTMAPEFFECT24,活力祝福
49974140366393392,QUESTMAPEFFECT24_DESCR,下次任务的总体力增加{POTENCY}%。
49974140366393393,QUESTMAPEFFECT25,警惕之眼
49974140366393394,QUESTMAPEFFECT25_DESCR,伏击几率增加{POTENCY}%。
49974140366393395,QUESTMAPEFFECT26,弱小敌人
49974140366393396,QUESTMAPEFFECT26_DESCR,此地敌人的等级低于正常值。
50134542702252032,GUILDEFFECT0,稀有美酒
50134542731612160,GUILDEFFECT0_DESCR,冒险者们正享受着稀有且美味的美酒。
50134542731612161,GUILDEFFECT1,不祥之兆
50134542731612162,GUILDEFFECT1_DESCR,降低所有冒险者的心情。
50134542731612163,GUILDEFFECT2,医疗补给
50134542731612164,GUILDEFFECT2_DESCR,冒险者的恢复速度翻倍。
50134542731612165,GUILDEFFECT3,道路不安全
50134542731612166,GUILDEFFECT3_DESCR,减少酒馆中可招募的新冒险者数量。
50134542731612167,GUILDEFFECT4,巡回艺人
50134542731612168,GUILDEFFECT4_DESCR,提高所有冒险者的心情。
54937265802293248,CAVE_SENSE_STONE_TOOLTIP,提升1格范围内所有角色的命中和闪避20点。
54937585576030208,CAVE_STRENGTH_STONE,提升1格范围内所有角色的物理攻击加成和魔法攻击加成20%。
54937900941553664,CAVE_MANA_STONE_TOOLTIP,"互动：
恢复50%的SP。"
54938279552987136,FOREST_HILL_TOOLTIP,站在该地块上的角色远程技能射程增加1，命中增加10点。
54938557018779648,FOREST_BERRIES_TOOLTIP,"互动：
恢复30%的生命值。"
54939429291405312,LAVALAND_VOLCANO_TOOLTIP,"提升1格范围内所有角色的火焰强度30点。
降低1格范围内所有角色的火焰抗性30点。"
54939972906758144,TUNDRA_ICE_TILE_TOOLTIP,"进入地块时：
有50%的几率中断移动，并将角色推向附近随机地块。"
54940515423203328,TUNDRA_SHRINE_TOOLTIP,"互动：
获得一个持续到战斗结束的随机增益。"
54975914451382272,GREAT_FOREST_GRASS_TOOLTIP,赋予站在此地块的角色隐匿状态，当敌人靠近时隐匿状态解除。
54976753190547456,HUNT_CAPTIVE_EFFECT_TOOLTIP,"如果计时结束，将发生恐怖事件
互动：
获得50点BP。"
54980101826392064,OLD_RUINS_TRAP_TILE,"进入地块时：
造成伤害并可能导致出血，中断移动及移动技能（传送除外）。不影响飞行单位。
仅触发一次。"
54983193271709696,ASTRIDQUEST_CAPTIVE_EFFECT_TOOLTIP,"如果计时结束，他们的灵魂将永远消失，快去拯救他们！
互动：
获得50点BP。"
61888433803735040,EPIC_ENEMY_BATTLEMAP_EFFECT,难以忘怀的一战
61888589567602688,BP_COST_MULTIPLIER_EFFECT_DESCR,冒险者勇气行动所需的BP增加{INTVALUE}%。
61894058445090816,A_FIGHT_FOR_THE_AGES,史诗级之战
61947147063635968,DIVINELIGHT_INTERACTABLE_TOOLTIP,"互动：
为你及所有盟友恢复10点BP。"
62192878743695360,OLD_GRIMOIRE_GUILD_EFFECT,所有冒险者智力成长增加20，但会承受负面的心情效果。
