ID,Key,String
2350588530688,CHARACTERCLASS0,奥术骑士
2350609502208,CHARACTERCLASS0_DESCR,装备厚重护甲并精通魔法的战士。与其他施法者不同，奥术骑士无惧正面对抗。
2350609502209,CHARACTERCLASS1,弓箭手
2350609502210,CHARACTERCLASS1_DESCR,弓箭手是能够在任意距离攻击敌人的远程冒险者，精准度高于大多数职业。由于防御能力较弱，他们更喜欢在后排行动，由坦克为他们提供保护。
2350613696512,CHARACTERCLASS2,刺客
2350613696513,CHARACTERCLASS2_DESCR,刺客是杀戮技艺的大师，很少有人像他们一样令人闻风丧胆。他们能对单个目标造成毁灭性伤害或施加致命伤势，使受害者缓慢死亡。
2350613696514,CHARACTERCLASS3,吟游诗人
2350613696515,CHARACTERCLASS3_DESCR,冒险小队的灵魂人物。他们通过激励人心的歌曲支持队友。
2350613696516,CHARACTERCLASS4,驯兽师
2350613696517,CHARACTERCLASS4_DESCR,"驯兽师在战斗中绝不会孤身一人。他们总是与忠实的动物伙伴并肩作战，这些伙伴会以无与伦比的凶猛保护他们的主人。"
2350613696518,CHARACTERCLASS5,主教
2350613696519,CHARACTERCLASS5_DESCR,与牧师相比，主教拥有更强大的神圣法术。诸神赐予他们强大的守护力量，能够使用更强力的法术强化整个队伍或惩戒邪恶。
2350613696520,CHARACTERCLASS6,战士
2350613696521,CHARACTERCLASS6_DESCR,战士擅长造成大量物理伤害，并且足够坚韧，可以站在前线作战。
2350613696522,CHARACTERCLASS7,龙骑士
2350613696523,CHARACTERCLASS7_DESCR,"就纯粹的力量而言，龙骑士可能是最强大的职业，掌握了源自龙族力量的能力。他们在战场上可以用强大的巨剑撕裂敌人，也可以用炽热的龙息将敌人焚烧殆尽。"
2350613696524,CHARACTERCLASS8,守护者
2350613696525,CHARACTERCLASS8_DESCR,守护者用盾牌成为队伍的第一道防线，承受大部分伤害保护队友。他们的耐久性是其他任何职业无法比拟的，因此是队伍中担任坦克的不二选择。
2350613696526,CHARACTERCLASS9,高阶法师
2350613696527,CHARACTERCLASS9_DESCR,"高阶法师比普通法师掌握更为强大的法术。鲜有人能匹敌他们在战场上所造成的毁灭，作为敌人更是难以幸存讲述他们的可怕故事。"
2350613696528,CHARACTERCLASS10,骑士
2350613696529,CHARACTERCLASS10_DESCR,骑士是多年磨练技艺的战士，很少有人能在战场上与他们的战斗技巧匹敌。他们是强大的前线战士，能够输出和承受同样巨大的伤害。
2350613696530,CHARACTERCLASS11,法师
2350613696531,CHARACTERCLASS11_DESCR,法师是多才多艺的冒险者，能运用各种技能应对各种局面。但较低的HP和物理抗性使他们容易受到物理攻击的伤害。
2350613696532,CHARACTERCLASS12,武僧
2350613696533,CHARACTERCLASS12_DESCR,武僧穷尽一生修炼身心，超越人类的极限。许多人因为武僧没有盔甲和武器而小看他们，最终却犯下致命的错误。
2350613696534,CHARACTERCLASS13,圣骑士
2350613696535,CHARACTERCLASS13_DESCR,圣骑士是神明的圣洁战士，以铲除邪恶为己任。他们能使用神圣技能支援自己或队友，是无需躲在队友身后的强大战士。
2350613696536,CHARACTERCLASS14,牧师
2350613696537,CHARACTERCLASS14_DESCR,"牧师虽然没有太多直接伤害敌人的手段，但在支援队友方面表现卓越。他们能够治疗伤势或给予队友战斗的勇气。"
2350613696538,CHARACTERCLASS15,游侠
2350613696539,CHARACTERCLASS15_DESCR,"游侠是战场上的致命杀手，可以精准地选择并消灭高价值目标。他们能轻易扭转战局，并且与其他职业不同的是，游侠极少失手。"
2350613696540,CHARACTERCLASS16,死神
2350613696541,CHARACTERCLASS16_DESCR,"死神是行走于生死之间的影子大师。他们从黑暗中对敌人迅速地施以致命一击，即使是最勇敢的战士也会为之胆寒。"
2350613696542,CHARACTERCLASS17,游荡者
2350613696543,CHARACTERCLASS17_DESCR,游荡者从不正面战斗。他们能使用削弱敌人的技能，或迅速脱离险境。但相较其他前线战士，他们的耐力不够突出。
2350613696544,CHARACTERCLASS18,圣徒
2350613696545,CHARACTERCLASS18_DESCR,"圣徒是被诸神选中的人，在凡间执行神的旨意。他们施展的奇迹将永远铭刻在非信徒的记忆之中。"
2350613696546,CHARACTERCLASS19,守卫者
2350613696547,CHARACTERCLASS19_DESCR,"最早站在前线保护队友的战士。他们对物理攻击特别耐抗，但伤害输出却不如其他职业突出。"
2350613696548,CHARACTERCLASS20,剑圣
2350613696549,CHARACTERCLASS20_DESCR,"剑圣对剑术的掌控登峰造极，既致命又优雅。他们在战场上如同舞者一般，动作优美而精准，敌人甚至来不及看清剑刃就已倒下。"
2350613696550,CHARACTERCLASS21,女巫
2350613696551,CHARACTERCLASS21_DESCR,"女巫深陷于恶魔传入人间的禁忌魔法，这种魔法令人恐惧，因为它的唯一目的就是给生者带来痛苦与毁灭。"
