ID,Key,String
1044939444224,DIALOGUESCENE0_GUILDMASTER_DIALOGUE1,*叹气* 终于来了。
1044972998656,DIALOGUESCENE0_GUILDMASTER_DIALOGUE2,*咕噜咕噜*...啊！这杯酒真不错！
1044977192960,DIALOGUESCENE1_GUILDMASTER_DIALOGUE1,这杯给我...
1044977192961,DIALOGUESCENE1_GUILDMASTER_DIALOGUE2,*咕咚*，*咕咚*...啊！够劲！
1044977192962,DIALOGUESCENE1_GUILDMASTER_DIALOGUE3,...
1044977192963,DIALOGUESCENE1_GUILDMASTER_DIALOGUE4,抱歉，弗兰。我知道自己终究躲不过这一天。
1044977192964,DIALOGUESCENE1_GUILDMASTER_DIALOGUE5,到现在我还是不敢相信你真的死了。来的时候，我甚至幻想这只是骗我回来的把戏。
1044977192965,DIALOGUESCENE1_GUILDMASTER_DIALOGUE6,连揍你脸的准备都做好了，哈哈哈！
1044977192966,DIALOGUESCENE1_GUILDMASTER_DIALOGUE7,*咕咚*，*咕咚*...
1044977192967,DIALOGUESCENE1_GUILDMASTER_DIALOGUE8,你是不是奇怪我怎么不问你的死因？
1044977192968,DIALOGUESCENE1_GUILDMASTER_DIALOGUE9,...大概是不想知道吧。
1044977192969,DIALOGUESCENE1_GUILDMASTER_DIALOGUE10,你家那个魔女老婆绝口不提这事，已经说明了一切。
1044977192970,DIALOGUESCENE1_GUILDMASTER_DIALOGUE11,我宁愿相信你是在三十岁那年寿终正寝，安详地睡梦中离世。
1044977192971,DIALOGUESCENE1_GUILDMASTER_DIALOGUE12,*咕咚*，*咕咚*...
1044977192972,DIALOGUESCENE1_GUILDMASTER_DIALOGUE13,...
1044977192973,DIALOGUESCENE2_GUILDMASTER_DIALOGUE1,...对不起，弗兰。
1044977192974,DIALOGUESCENE2_GUILDMASTER_DIALOGUE2,为我当年的离开...
1044977192975,DIALOGUESCENE2_GUILDMASTER_DIALOGUE3,为这十年的避而不见。
1044977192976,DIALOGUESCENE2_GUILDMASTER_DIALOGUE4,...人总是要到无法挽回时，才明白自己有多蠢。
1044977192977,DIALOGUESCENE2_GUILDMASTER_DIALOGUE5,*咕咚*，*咕咚*...
1044977192978,DIALOGUESCENE2_GUILDMASTER_DIALOGUE6,...你怨过我吗，弗兰？...
1044977192979,DIALOGUESCENE2_GUILDMASTER_DIALOGUE7,...给我写信只是因为别无选择了吗？
1044977192980,DIALOGUESCENE2_GUILDMASTER_DIALOGUE8,<?shakeScreen>*咕咚*，*咕咚*，*咕咚*...哈啊...
1044977192981,DIALOGUESCENE2_GUILDMASTER_DIALOGUE9,...都不重要了。
1044977192982,DIALOGUESCENE2_GUILDMASTER_DIALOGUE10,我记得你的梦想...我们的梦想。
1044977192983,DIALOGUESCENE2_GUILDMASTER_DIALOGUE11,建立冒险者公会...给像我们这样的人一个家。
1044977192984,DIALOGUESCENE2_GUILDMASTER_DIALOGUE12,让它在整个大陆闻名且受尊敬。
1044977192985,DIALOGUESCENE2_GUILDMASTER_DIALOGUE13,...我向你发誓弗兰...我一定会实现它。
1044977192986,DIALOGUESCENE3_GUILDMASTER_DIALOGUE1,...
1044977192987,DIALOGUESCENE3_GUILDMASTER_DIALOGUE2,<?whiteFlash>你在这儿干什么？
1044977192988,DIALOGUESCENE3_FIOLA_DIALOGUE3,当然是来祭奠我丈夫，你这反应迟钝的蠢货。
1044977192989,DIALOGUESCENE3_GUILDMASTER_DIALOGUE4,啧！来得真不是时候。
1044977192990,DIALOGUESCENE3_FIOLA_DIALOGUE5,等我结束你可以再来。
1044977192991,DIALOGUESCENE3_GUILDMASTER_DIALOGUE6,谁知道你要搞到什么时候？我就待这儿。
1044977192992,DIALOGUESCENE3_FIOLA_DIALOGUE7,*叹气* 随你！这种场合我实在懒得跟你吵。
1044977192993,DIALOGUESCENE3_GUILDMASTER_DIALOGUE8,...
1044977192994,DIALOGUESCENE3_GUILDMASTER_DIALOGUE9,...所以你真不打算离开？
1044977192995,DIALOGUESCENE3_FIOLA_DIALOGUE10,又来了？不，我不会走。
1044977192996,DIALOGUESCENE3_GUILDMASTER_DIALOGUE11,你知道这事和你无关对吧？冒险者公会是我和弗兰早年的构想，那时还没你呢。
1044977192997,DIALOGUESCENE3_GUILDMASTER_DIALOGUE12,你从头到尾都和这个理想无关。
1044977192998,DIALOGUESCENE4_FIOLA_DIALOGUE1,<?whiteFlash><b>你</b>居然有脸对我说这种话？
1044977192999,DIALOGUESCENE4_FIOLA_DIALOGUE2,<?shakeScreen>过去十年我们建设公会时你在哪里？
1044977193000,DIALOGUESCENE4_FIOLA_DIALOGUE3,<?shakeScreen>当他不眠不休从零开始建设公会时，你在哪里？
1044977193001,DIALOGUESCENE4_FIOLA_DIALOGUE4,<?shakeScreen>当他为维持公会生存苦苦挣扎时，你在哪里？
1044977193002,DIALOGUESCENE4_FIOLA_DIALOGUE5,<?shakeScreen>当他临终时，你又在哪里？
1044977193003,DIALOGUESCENE4_FIOLA_DIALOGUE6,<?shakeScreen>我在这里！从始至终都在！而不是你！
1044977193004,DIALOGUESCENE4_FIOLA_DIALOGUE7,自称是他的朋友？别让我发笑了！
1044981387264,DIALOGUESCENE4_FIOLA_DIALOGUE8,我不知道他为何选你当继任者。
1044981387265,DIALOGUESCENE4_FIOLA_DIALOGUE9,只知道随便从街上抓个<?shakeScreen><b>陌生人</b>都比你强！
1044981387266,DIALOGUESCENE4_FIOLA_DIALOGUE10,哼！<?fadeOutNPC>
1044981387267,DIALOGUESCENE4_GUILDMASTER_DIALOGUE11,...
1044981387268,DIALOGUESCENE5_TAVI_DIALOGUE1,午夜了！看来该关门了。
1044981387269,DIALOGUESCENE5_TAVI_DIALOGUE2,<?whiteFlash>啊！公会会长！
1044981387270,DIALOGUESCENE5_GUILDMASTER_DIALOGUE3,晚上好塔维！要打烊了吗？
1044981387271,DIALOGUESCENE5_GUILDMASTER_DIALOGUE4,我还想买点麦酒当夜宵呢
1044981387272,DIALOGUESCENE5_TAVI_DIALOGUE5,如果您需要的话还可以再招待一杯
1044981387273,DIALOGUESCENE5_GUILDMASTER_DIALOGUE6,那就麻烦你了
1044981387274,DIALOGUESCENE5_TAVI_DIALOGUE7,稍等片刻<?fadeOutNPC>
1044981387275,DIALOGUESCENE5_GUILDMASTER_DIALOGUE8,......
1044981387276,DIALOGUESCENE5_TAVI_DIALOGUE9,您的酒，公会会长！
1044981387277,DIALOGUESCENE5_GUILDMASTER_DIALOGUE10,多谢
1044981387278,DIALOGUESCENE5_GUILDMASTER_DIALOGUE11,*咕噜*，*咕噜* 啊——！这杯真不错
1044981387279,DIALOGUESCENE5_TAVI_DIALOGUE12,......今天很辛苦吧？
1044981387280,DIALOGUESCENE5_GUILDMASTER_DIALOGUE13,是啊
1044981387281,DIALOGUESCENE5_TAVI_DIALOGUE14,看你这个点才来就知道了
1044981387282,DIALOGUESCENE5_GUILDMASTER_DIALOGUE15,不，倒不是因为那个。我只是不喜欢在人多的地方喝酒
1044981387283,DIALOGUESCENE5_TAVI_DIALOGUE16,所以你就等到其他人都走光了才来？
1044981387284,DIALOGUESCENE5_GUILDMASTER_DIALOGUE17,差不多吧
1044981387285,DIALOGUESCENE5_TAVI_DIALOGUE18,可你和冒险者们相处时明明挺健谈的啊
1044981387286,DIALOGUESCENE5_GUILDMASTER_DIALOGUE19,我是他们的公会会长。当然得让他们喜欢我
1044981387287,DIALOGUESCENE5_GUILDMASTER_DIALOGUE20,......这事可别告诉他们
1044981387288,DIALOGUESCENE5_TAVI_DIALOGUE21,<?shakeScreen>哈哈哈，你这就醉了吗？
1044981387289,DIALOGUESCENE5_GUILDMASTER_DIALOGUE22,怎么可能！这点酒连微醺都算不上！
