ID,Key,String
1044939444224,DIALOGUESCENE0_GUILDMASTER_DIALOGUE1,...
1044972998656,DIALOGUESCENE0_GUILDMASTER_DIALOGUE2,...这一杯敬我...
1044977192960,DIALOGUESCENE1_GUILDMASTER_DIALOGUE1,...这一杯敬你。
1044977192961,DIALOGUESCENE1_GUILDMASTER_DIALOGUE2,"咕咚，咕咚......啊！痛快！"
1044977192962,DIALOGUESCENE1_GUILDMASTER_DIALOGUE3,...
1044977192963,DIALOGUESCENE1_GUILDMASTER_DIALOGUE4,"抱歉，弗兰妮。
我知道我不能一直逃避下去"
1044977192964,DIALOGUESCENE1_GUILDMASTER_DIALOGUE5,"直到现在我依然很难相信你已经不在了。来到这里时，我心底某个角落还在想，这会不会是你为了骗我回来设下的局。"
1044977192965,DIALOGUESCENE1_GUILDMASTER_DIALOGUE6,"我都准备好往你脸上揍一拳了，哈哈哈！"
1044977192966,DIALOGUESCENE1_GUILDMASTER_DIALOGUE7,"咕咚，咕咚......"
1044977192967,DIALOGUESCENE1_GUILDMASTER_DIALOGUE8,你是不是在奇怪，为什么我从不向人追问你的死因？
1044977192968,DIALOGUESCENE1_GUILDMASTER_DIALOGUE9,...大概是因为，我不想知晓答案。
1044977192969,DIALOGUESCENE1_GUILDMASTER_DIALOGUE10,你那女巫老婆对此只字未提——光是这点就足够说明一切了。
1044977192970,DIALOGUESCENE1_GUILDMASTER_DIALOGUE11,我宁愿相信你是在三十岁那年，于睡梦中安详离世。
1044977192971,DIALOGUESCENE1_GUILDMASTER_DIALOGUE12,"*咕咚*，*咕咚*......"
1044977192972,DIALOGUESCENE1_GUILDMASTER_DIALOGUE13,...
1044977192973,DIALOGUESCENE2_GUILDMASTER_DIALOGUE1,"......对不起，弗兰妮。"
1044977192974,DIALOGUESCENE2_GUILDMASTER_DIALOGUE2,为我的不告而别......
1044977192975,DIALOGUESCENE2_GUILDMASTER_DIALOGUE3,为这整整十年的逃避。
1044977192976,DIALOGUESCENE2_GUILDMASTER_DIALOGUE4,......人总要等到追悔莫及之时，才能看清自己有多愚蠢。
1044977192977,DIALOGUESCENE2_GUILDMASTER_DIALOGUE5,"咕咚，咕咚......"
1044977192978,DIALOGUESCENE2_GUILDMASTER_DIALOGUE6,"......你可曾怨恨过我，弗兰妮？......"
1044977192979,DIALOGUESCENE2_GUILDMASTER_DIALOGUE7,......当年你写信唤我归来，是否只因别无选择？
1044977192980,DIALOGUESCENE2_GUILDMASTER_DIALOGUE8,"<?shakeScreen>咕咚、咕咚、咕咚......哈啊......"
1044977192981,DIALOGUESCENE2_GUILDMASTER_DIALOGUE9,......罢了。
1044977192982,DIALOGUESCENE2_GUILDMASTER_DIALOGUE10,你描绘过的愿景......我们的理想。
1044977192983,DIALOGUESCENE2_GUILDMASTER_DIALOGUE11,组建冒险者公会......打造属于我们的家园。
1044977192984,DIALOGUESCENE2_GUILDMASTER_DIALOGUE12,让它的名号响彻大陆每个角落。
1044977192985,DIALOGUESCENE2_GUILDMASTER_DIALOGUE13,......我在此立誓，弗兰妮......定要让这愿景成真. 
1044977192986,DIALOGUESCENE3_GUILDMASTER_DIALOGUE1,...
1044977192987,DIALOGUESCENE3_GUILDMASTER_DIALOGUE2,<?whiteFlash>你在这儿干什么?
1044977192988,DIALOGUESCENE3_FIOLA_DIALOGUE3,明摆着我是来吊唁我老公的，你这迟钝的笨蛋.
1044977192989,DIALOGUESCENE3_GUILDMASTER_DIALOGUE4,啧！真是时机不对劲.
1044977192990,DIALOGUESCENE3_FIOLA_DIALOGUE5,你等我办完事再来.
1044977192991,DIALOGUESCENE3_GUILDMASTER_DIALOGUE6,谁知道你什么时候收工？我就待这儿.
1044977192992,DIALOGUESCENE3_FIOLA_DIALOGUE7,*叹气* 好吧，留下来吧！我真不想在这儿跟你吵架.
1044977192993,DIALOGUESCENE3_GUILDMASTER_DIALOGUE8,...
1044977192994,DIALOGUESCENE3_GUILDMASTER_DIALOGUE9,…你真的一点打算也不走吗?
1044977192995,DIALOGUESCENE3_FIOLA_DIALOGUE10,"又来这套?
 不，我就是不走."
1044977192996,DIALOGUESCENE3_GUILDMASTER_DIALOGUE11,你知道这事跟你根本没关系吧？冒险者公会可是我和弗朗尼的主意，早在遇见你之前就想出来了.
1044977192997,DIALOGUESCENE3_GUILDMASTER_DIALOGUE12,这事跟你一点关系都没有.
1044977192998,DIALOGUESCENE4_FIOLA_DIALOGUE1,<?whiteFlash><b>你</b>偏偏就来这套？
1044977192999,DIALOGUESCENE4_FIOLA_DIALOGUE2,<?shakeScreen>这十年我们一起打拼，你到底去哪儿混了？
1044977193000,DIALOGUESCENE4_FIOLA_DIALOGUE3,<?shakeScreen>当他从零开始拼这帮会时，你又在哪儿？
1044977193001,DIALOGUESCENE4_FIOLA_DIALOGUE4,<?shakeScreen>当他苦苦维持帮会运转时，你又躲到哪儿去了？
1044977193002,DIALOGUESCENE4_FIOLA_DIALOGUE5,<?shakeScreen>他走那会儿，你又在哪儿？
1044977193003,DIALOGUESCENE4_FIOLA_DIALOGUE6,<?shakeScreen>我从头到尾一直在这儿！你哪儿也没出现过！
1044977193004,DIALOGUESCENE4_FIOLA_DIALOGUE7,你自称是他朋友？别逗了！
1044981387264,DIALOGUESCENE4_FIOLA_DIALOGUE8,我不明白他为啥会选你当接班人。
1044981387265,DIALOGUESCENE4_FIOLA_DIALOGUE9,我只知道<?shake<b>Sc</b>reen>，街上随便一个路人都比你靠谱多了！
