ID,Key,String
3186240688128,ALPHA_WOLF,恐狼头领
3186261659648,ALPHAWOLF_VARIANT,狼群头领
3186265853952,ANCIENT_TREE_SPIRIT,古树之灵
3186265853953,ANCIENT_WARDEN_LIGHTNING,远古守护者
3186265853954,ANGEL,天使
3186265853955,APPRENTICE,学徒
3186265853956,ARCHER_ENEMY,新手弓箭手
3186265853957,ASSASSIN,刺客
3186265853958,ASSASSIN_LEADER,刺客头领
3186265853959,BAI_BLINDFOLDED,白
3186265853960,BANDIT_BOMBARDIER,强盗轰炸手
3186265853961,BANDIT_BRUTE,强盗暴徒
3186265853962,BANDIT_CROSSBOWMAN,强盗弩手
3186265853963,BANDIT_GRUNT,强盗小兵
3186265853964,BANDIT_KING,强盗之王
3186265853965,BANDIT_LEADER,强盗头目
3186265853966,BANDIT_LEADER_TUT,强盗头目
3186265853967,BANDIT_MANIAC,疯狂强盗
3186265853968,BASILISK,蛇蜥
3186265853969,BASILISK_HATCHLING,幼年蛇蜥
3186265853970,BEASTMASTER,驯兽师
3186265853971,BEASTMASTER_ELDER,资深驯兽师
3186265853972,BIRD_BULL,鸟牛兽
3186265853973,BIRDBULL_BOSS,鸟牛兽首领
3186265853974,BOAR_BOSS,野猪头领
3186265853975,BODYGUARD,保镖
3186265853976,BROWN_BEAR,棕熊
3186265853977,CHANTAY_THE_RANGER,游侠香黛
3186265853978,BOAR,狂暴野猪
3186265853979,CULTIST_STANDARD,邪教徒
3186265853980,DECOY,诱饵
3186265853981,DEFENDER_ENEMY,新手守卫
3186265853982,DEMONIC_SHRINE1,恶魔神殿
3186265853983,DEMONIC_SHRINE_02,恶魔神殿
3186265853984,DEMONIC_SHRINE_03,恶魔神殿
3186265853985,DEMONIC_SHRINE_04,恶魔神殿
3186265853986,DEMONIC_SHRINE_05,恶魔神殿
3186265853987,DEMONIC_WITCH_BOSS,魔女
3186265853988,DIVINE_MESSENGER,神圣使者
3186265853989,DRYAD,树精
3186265853990,EAGLE,鹰
3186265853991,EDEN_NORA,伊甸与诺拉
3186265853992,LEPHOZ_ELDER,长老
3186265853993,ENTHRALLLED_ARCHER,被迷惑的弓箭手
3186265853994,ENTHRALLED_CLAYMORE,被迷惑的战士
3186265853995,ENTHRALLED_DEFENDER,被迷惑的守卫
3186265853996,ENTHRALLED_MAGE,被迷惑的法师
3186265853997,ENTHRALLED_PRIEST,被迷惑的牧师
3186265853998,ENTHRALLED_ROGUE,被迷惑的游荡者
3186265853999,EXPLOSIVE_BARRELS,爆炸桶
3186265854000,FIRE_ELEMENTAL,火元素
3186265854001,FRIENDLY_BEAR,熊
3186265854002,FRIENDLY_EAGLE,鹰
3186265854003,FRIENDLY_ALPHA_WOLF,狼
3186265854004,FROST_ALPHA_WOLF,冰霜恐狼头领
3186265854005,FROST_WOLF,冰霜狼
3186265854006,GHOST,幽灵
3186265854007,GHOUL,食尸鬼
3186265854008,GIANT_ALPHA_WOLF,巨型冰霜狼
3186265854009,GIANT_OBSIDIAN_GOLEM,巨型黑曜石魔像
3186265854010,GIANT_SPIDER,巨型蜘蛛
3186265854011,GILBERT,吉尔伯特
3186265854012,GOBLIN_GRUNT,哥布林
3186265854013,GOBLIN_ARCHER,哥布林弓箭手
3186265854014,GOBLIN_SHAMAN,哥布林萨满
3186265854015,GOBLIN_WARLORD,哥布林军阀
3186265854016,GRAVEWORM,紫色虫怪
3186265854017,GREATER_ASPECT_OF_AZAZEL,阿撒兹勒大化身
3186265854018,GREATER_ASPECT_OF_BEELZEBUB,别西卜大化身
3186265854019,GREATER_ASPECT_BELEPHEGOR,贝勒弗戈大化身
3186270048256,GREATER_ASPECT_OF_LEVIATHA,利维坦大化身
3186270048257,GREATER_ASPECT_OF_LILITH,莉莉丝大化身
3186270048258,GREATER_ASPECT_LUCIFER,路西法大化身
3186270048259,GREATER_ASPECT_OF_MAMMON,玛门大化身
3186270048260,HARPYE,鹰身女妖
3186270048261,HOBGOBLIN_ARCHER,大地精弓箭手
3186270048262,HOBGOBLIN_WARRIOR,大地精战士
3186270048263,HOBGOBLIN_WARRIOR_DEMONIC_DAGGERS,大地精英雄
3186270048264,HUNTER,猎人
3186270048265,ICE_BEAR,冰熊
3186270048266,ICE_BRIDE,冰雪新娘
3186270048267,ICE_BRIDE_MIRAGE,冰雪新娘幻象
3186270048268,ICE_ELEMENTAL,冰元素
3186270048269,ICEFANG_BERSERKER,冰牙狂战士
3186270048270,ICEFANG_LORD,冰牙领主
3186270048271,ICEFANG_WARLORD,冰牙军阀
3186270048272,ICEFANG_WARRIOR,冰牙战士
3186270048273,KESTER_THE_ASSASSIN,刺客凯斯特
3186270048274,LADDER,攻城梯
3186270048275,LAVA_TURTLE,岩浆龟
3186270048276,LICH,巫妖
3186270048277,LIGHTNING_ELEMENTAL,闪电元素
3186270048278,LIZARDMAN,蜥蜴人
3186270048279,LIZARDMAN_PRIEST,蜥蜴人祭司
3186270048280,MAGE_ENEMY,新手法师
3186270048281,MINOR_ASPECT_LUFICER,路西法小化身
3186270048282,MINOR_EARTH_ELEMENTAL,大地元素
3186270048283,MONK_ENEMY,猛汉团成员
3186270048284,NECROMANCER,死灵法师
3186270048285,NOVICE_ARCHER,新兵弓箭手
3186270048286,NOVICE_CLAYMORE,新兵战士
3186270048287,NOVICE_DEFENDER,新兵守卫
3186270048288,NOVICE_MAGE,新兵法师
3186270048289,NOVICE_PRIEST,新兵牧师
3186270048290,NOVICE_ROGUE,新兵游荡者
3186270048291,OBSIDIAN_GOLEM,黑曜石魔像
3186270048292,OLD_DRAGON,古龙
3186270048293,PHOENIX,不死凤凰
3186270048294,PHOENIX_ASHES,凤凰之灰
3186270048295,PHYLACTERY,护命匣
3186270048296,PILE_OF_GOLD,金堆
3186270048297,POISON_MASTER,毒药大师
3186270048298,PRIEST_ENEMY,新手牧师
3186270048299,RANGER_BOSS_ENEMY,安德烈
3186270048300,RAZOR_BOSS,剃刀
3186270048301,REAPER_BOSS_GIRL,刽子手
3186270048302,ROAD_SLASHER,路劫者
3186270048303,ROGUE_ENEMY,新手游荡者
3186270048304,ROSE_THE_HIGHMAGE,高阶法师萝丝
3186270048305,RUNE_OF_PROTECTION,防护符文
3186270048306,SAPLING_BOMB,炸弹树苗
3186270048307,SAPLING_NURSE,治愈树苗
3186270048308,SAPLING_SNAPPER,撕咬树苗
3186270048309,SAPLING_STOPPER,阻碍树苗
3186270048310,SCOUT,斥候
3186270048311,SHARPSHOOTER,神射手
3186270048312,SHARPSHOOTER_DEMONICBOW,神射手大师
3186270048313,SHODDY_BARRICADE,破旧的路障
3186270048314,SHRIEKER,尖啸者
3186270048315,SHRIEKER_CORPSE,尖啸者尸体
3186270048316,SKYLA_THE_ARCANE_KNIGHT,奥术骑士丝凯拉
3186270048317,SOLDIER,士兵
3186270048318,SPIDER_EGG,蜘蛛卵
3186270048319,SPIDER_QUEEN,蜘蛛女王
3186270048320,STORM_TALON,风暴之爪
3186270048321,SWORDMASTER,神秘剑圣
3186270048322,SWORDMASTER_DISCIPLE_AIRSTANCE,剑圣弟子
3186270048323,SWORDMASTER_DISCIPLE_EARTHSTANCE,剑圣弟子
3186270048324,SWORDMASTER_DISCIPLE_FIRESTANCE,剑圣弟子
3186270048325,SWORDMASTER_DISCIPLE_WATERSTANCE,剑圣弟子
3186270048326,SYD_THE_BARD,吟游诗人西德
