ID,Key,String
2479269777408,GUILDUPGRADE0,炼金术士升级
2479303331840,GUILDUPGRADE0_DESCR,"""我有很多新想法，但我需要你帮我把这个清单上的东西拿来！"""
2479307526144,GUILDUPGRADE0_OUTCOME_DESCR,解锁更多炼金药水。
2479307526145,GUILDUPGRADE1,炼金术升级
2479307526146,GUILDUPGRADE1_DESCR,
2479307526147,GUILDUPGRADE1_OUTCOME_DESCR,
2479307526148,GUILDUPGRADE2,炼金术升级
2479307526149,GUILDUPGRADE2_DESCR,"""我的药水酿造设备不是很好。如果我能至少得到中等水平的设备就太好了！"""
2479307526150,GUILDUPGRADE2_OUTCOME_DESCR,解锁更多炼金药水。
2479307526151,GUILDUPGRADE3,炼金术升级
2479307526152,GUILDUPGRADE3_DESCR,"""有些药水我们有原料，但没有相应的设备。"""
2479307526153,GUILDUPGRADE3_OUTCOME_DESCR,解锁更多炼金药水。
2479307526154,GUILDUPGRADE4,基础炼金材料配送
2479307526155,GUILDUPGRADE4_DESCR,"""我有一个联系人，我可以定期从他那里购买基础炼金材料，如果你想从我这里购买的话。"""
2479307526156,GUILDUPGRADE4_OUTCOME_DESCR,Me'can 将开始出售一些基础药水制作材料。
2479307526157,GUILDUPGRADE5,基础资源交付
2479307526158,GUILDUPGRADE5_DESCR,"""你的冒险者并不总能为你带来所需的资源。只需支付一定的费用，我每周可以为你提供一些常见资源，让你购买所缺的物品。"""
2479307526159,GUILDUPGRADE5_OUTCOME_DESCR,Me'can 将开始出售常见材料。
2479307526160,GUILDUPGRADE6,更好的房间
2479307526161,GUILDUPGRADE6_DESCR,"""考虑到冒险者是公会的命脉，我们应该确保他们乐意留在这里。因此，为什么不让他们的房间更舒适一些呢。"""
2479307526162,GUILDUPGRADE6_OUTCOME_DESCR,冒险者获得永久心情加成。
2479307526163,GUILDUPGRADE7,更好的房间
2479307526164,GUILDUPGRADE7_DESCR,"""现在冒险者的房间仍然相当小且单调。如果我们能给他们更大的房间和更好的家具，将有助于提升士气。"""
2479307526165,GUILDUPGRADE7_OUTCOME_DESCR,冒险者获得永久心情增益。
2479307526166,GUILDUPGRADE8,更好的房间
2479307526167,GUILDUPGRADE8_DESCR,"""在这个时候，我们不应该在冒险者的满意度上节省任何开支。一点奢华应该能让他们感到快乐。"""
2479307526168,GUILDUPGRADE8_OUTCOME_DESCR,冒险者获得永久心情增益。
2479307526169,GUILDUPGRADE9,铁匠升级
2479307526170,GUILDUPGRADE9_DESCR,"""我们有更好的材料，但缺乏设备。"""
2479307526171,GUILDUPGRADE9_OUTCOME_DESCR,Barret 将能够制作稀有装备。
2479307526172,GUILDUPGRADE10,铁匠升级
2479307526173,GUILDUPGRADE10_DESCR,"""需要更好的工具，不能在秘银上断裂。"""
2479307526174,GUILDUPGRADE10_OUTCOME_DESCR,巴雷特将能够制作史诗装备。
2479307526175,GUILDUPGRADE11,铁匠升级
2479307526176,GUILDUPGRADE11_DESCR,"""我的熔炉不适合熔化黑曜石。我需要最好的设备。"""
2479307526177,GUILDUPGRADE11_OUTCOME_DESCR,巴雷特将能够制作传奇装备。
2479307526178,GUILDUPGRADE12,忏悔亭
2479307526179,GUILDUPGRADE12_DESCR,"""有时冒险者会带着沉重的过去来到我们这里，他们只需要一个不带评判地倾听他们的人。"""
2479307526180,GUILDUPGRADE12_OUTCOME_DESCR,解锁冒险者重置所有技能点的能力，需支付费用。
2479307526181,GUILDUPGRADE13,公会大师的餐桌
2479307526182,GUILDUPGRADE13_DESCR,"""如果公会大师亲自和冒险者共进午餐，冒险者会感到非常特别。如果你邀请另一位冒险者，甚至可能促进他们之间的关系。"""
2479307526183,GUILDUPGRADE13_OUTCOME_DESCR,解锁邀请最多2位冒险者共进午餐的能力。
2479307526184,GUILDUPGRADE14,捐赠箱
2479307526185,GUILDUPGRADE14_DESCR,"""众神总是愿意帮助，但只需付出代价。我们可以设立一个捐赠箱来请求他们的祝福。"""
2479307526186,GUILDUPGRADE14_OUTCOME_DESCR,解锁在教堂捐赠以获得下一个任务随机祝福的能力。
2479307526187,GUILDUPGRADE15,公会扩展
2479307526188,GUILDUPGRADE15_DESCR,"""如果我们再投入一些资金到公会中，我们将能够接纳更多的冒险者。""<"
