ID,Key,String
2479269777408,GUILDUPGRADE0,炼金师工坊升级 III
2479303331840,GUILDUPGRADE0_DESCR,"""我有一堆新点子，但得先搞到这张清单上的材料！"""
2479307526144,GUILDUPGRADE0_OUTCOME_DESCR,炼金师处解锁更多药剂配方
2479307526145,GUILDUPGRADE1,炼金工坊升级 IV
2479307526146,GUILDUPGRADE1_DESCR,""
2479307526147,GUILDUPGRADE1_OUTCOME_DESCR,""
2479307526148,GUILDUPGRADE2,炼金工坊升级 I
2479307526149,GUILDUPGRADE2_DESCR,"""现在的炼药设备太寒酸了，至少得弄套像样的家伙什儿吧！"""
2479307526150,GUILDUPGRADE2_OUTCOME_DESCR,炼金师处解锁更多药剂配方
2479307526151,GUILDUPGRADE3,炼金工坊升级 II
2479307526152,GUILDUPGRADE3_DESCR,"""有些药剂咱们原料齐备，就差趁手的器具了"""
2479307526153,GUILDUPGRADE3_OUTCOME_DESCR,炼金师处解锁更多药剂配方
2479307526154,GUILDUPGRADE4,基础炼金原料供给
2479307526155,GUILDUPGRADE4_DESCR,"""我有固定渠道能定期进基础炼金材料，阁下若有需要可以找我采购"""
2479307526156,GUILDUPGRADE4_OUTCOME_DESCR,梅坎将开始出售基础炼金材料
2479307526157,GUILDUPGRADE5,基础资源供给
2479307526158,GUILDUPGRADE5_DESCR,"""冒险者不可能每次都带回你需要的资源。只要付钱，我每周都能搞些常见物资过来填补缺口"""
2479307526159,GUILDUPGRADE5_OUTCOME_DESCR,梅坎将开始出售普通锻造材料
2479307526160,GUILDUPGRADE6,客房升级
2479307526161,GUILDUPGRADE6_DESCR,"""冒险者可是公会的命脉，得让他们住得舒心才行。把房间拾掇得舒服些准没错"""
2479307526162,GUILDUPGRADE6_OUTCOME_DESCR,冒险者获得永久心情加成
2479307526163,GUILDUPGRADE7,客房升级 II
2479307526164,GUILDUPGRADE7_DESCR,"""现在的房间还是太小太阴沉。换大间配上好家具绝对能提振士气"""
2479307526165,GUILDUPGRADE7_OUTCOME_DESCR,冒险者获得永久心情增益
2479307526166,GUILDUPGRADE8,客房升级 III
2479307526167,GUILDUPGRADE8_DESCR,"""是时候为冒险者的舒适不计成本了，奢华享受才能让他们死心塌地"""
2479307526168,GUILDUPGRADE8_OUTCOME_DESCR,冒险者获得永久心情增益
2479307526169,GUILDUPGRADE9,铁匠铺升级 I
2479307526170,GUILDUPGRADE9_DESCR,"""材料到位了，设备还差点火候"""
2479307526171,GUILDUPGRADE9_OUTCOME_DESCR,巴雷特将可锻造稀有装备
2479307526172,GUILDUPGRADE10,铁匠铺升级 II
2479307526173,GUILDUPGRADE10_DESCR,"""需要更结实的家伙事儿，现在的工具可经不住秘银折腾"""
2479307526174,GUILDUPGRADE10_OUTCOME_DESCR,巴雷特将可锻造史诗装备
2479307526175,GUILDUPGRADE11,铁匠铺升级 III
2479307526176,GUILDUPGRADE11_DESCR,"""现在的熔炉根本炼不了黑曜石，得搞个顶配的来"""
2479307526177,GUILDUPGRADE11_OUTCOME_DESCR,巴雷特将可锻造传奇装备
2479307526178,GUILDUPGRADE12,告解室
2479307526179,GUILDUPGRADE12_DESCR,"""有些冒险者背负着沉重过往，他们需要的只是不带评判的倾听者"""
2479307526180,GUILDUPGRADE12_OUTCOME_DESCR,可付费重置冒险者全部技能点
2479307526181,GUILDUPGRADE13,会长宴席
2479307526182,GUILDUPGRADE13_DESCR,"""如果会长亲自共进午餐，冒险者会倍感殊荣。邀约多人还能培养他们之间的关系"""
2479307526183,GUILDUPGRADE13_OUTCOME_DESCR,解锁最多邀请2名冒险者共进午餐的功能
2479307526184,GUILDUPGRADE14,奉献之箱
2479307526185,GUILDUPGRADE14_DESCR,"""诸神总是乐于施助——只要供奉到位。设个奉献箱以求神恩吧"""
2479307526186,GUILDUPGRADE14_OUTCOME_DESCR,可在教堂捐献获得随机祝福，效果持续至下次任务
2479307526187,GUILDUPGRADE15,公会扩张 I
2479307526188,GUILDUPGRADE15_DESCR,"""追加投资就能招募更多冒险者"""
2479307526189,GUILDUPGRADE15_OUTCOME_DESCR,"冒险者上限+10
编队上限+1"
2479307526190,GUILDUPGRADE16,公会扩张 II
2479307526191,GUILDUPGRADE16_DESCR,"""现有的人手已经处理不过来的任务了，必须进一步扩张"""
2479307526192,GUILDUPGRADE16_OUTCOME_DESCR,"冒险者上限+10
编队上限+1"
2479307526193,GUILDUPGRADE17,史诗炼金原料
2479307526194,GUILDUPGRADE17_DESCR,"""别问我怎么搞到这些的"""
2479307526195,GUILDUPGRADE17_OUTCOME_DESCR,梅坎将开始出售史诗级炼金原料
2479307526196,GUILDUPGRADE18,次元袋
