ID,Key,String
44947451904,EMPOWERED,强化
48224116712312832,UNTOUCHABLE,不可触碰
48227259017760768,STUNNED,眩晕
48227428564111360,TAUNTED,嘲讽
48227801337073664,EXHAUSTED,精疲力竭
48227951644151808,SEVERELY_EXHAUSTED,严重疲惫
48228440498671616,MARKED,被标记
48228507951468544,PROTECTED_AMOUNT,保护({AMOUNT})
48228718287425536,SHAKEN,震惊
48228989709225984,INSPIRED,受到启发
48229183465099264,UNYIELDING,坚韧
48229388159717376,HIDDEN,隐藏
48565542880972800,BACKSTABBER,背刺
48565712225996800,STAGGERED,瘫痪
48565947287375872,EXTENDED_RANGE,延长范围({AMOUNT})
48646275318321152,FROZEN,冻结
48657910300839936,PHOENIX_MINOR,凤凰小
48658043755204608,VANGUARD,先锋
48658255789854720,REJECT_HELP,拒绝帮助
48658370848002048,BARRIER,障碍
48658472685703168,TRUE_SIGHT,真视
48658635902849024,CHILLED,冷却
48659136350425088,SHOCKED,震惊
48663241529659392,ROOTED,根植
48664280395845632,ELITE,精英
48664352172969984,WET,湿润
48664417071435776,OVERWATCH,监视
48665606668324864,REFLECTION,反射({AMOUNT})
48665858196541440,EMPOWERED_AMOUNT,强化({AMOUNT})
48666233305731072,VULNERABLE_AMOUNT,脆弱({AMOUNT})
48666706045734912,WEAKENED_AMOUNT,虚弱({AMOUNT})
48666904394371072,NIGHTTIME,夜间
48667093305823232,MARK_OF_LILITH,莉莉丝的印记
48667262957031424,SPELL_PREPARED,法术准备
48667445249871872,FREEDOM_MOVEMENT,移动自由
48667564842061824,BLIND,失明
48667644743553024,MARK_OF_BELEPHEGOR,贝勒菲戈尔的印记
48674796690378752,ADRENALINE,肾上腺素
48674890181414912,MARK_OF_BEELZEBUB,贝尔泽布的印记
48674992572764160,MARK_OF_MAMMON,玛门的印记
48675101712748544,MARK_OF_LUCIFER,路西法的印记
48677269450690560,TERRIFIED,恐惧
48677818283757568,DEMONIC_WHISPERS,恶魔低语
48677968968323072,DETERMINED,决心
48678129413033984,ANGELIC_BLESSING,天使祝福
48679237334241280,REVELATION_AMOUNT,启示({AMOUNT})
48679451541540864,TOXIC_AMOUNT,毒素({AMOUNT})
48680729231396864,DEMONIC_RAGE,恶魔狂怒
48680864522866688,SHIELD_CHARGE,护盾冲击
48680976233959424,DRAGONIC_FURY,龙之怒火
48681129485438976,DRAGON_SCALE,龙鳞
48681244736524288,EXPOSED,暴露
48681681489399808,CURSED_WOUND,诅咒伤口
48682494802694144,SLOWED,缓慢
48682591225548800,HASTE,疾速
48682711191031808,GOLDEN_TEMPTATION,黄金诱惑
48682873401544704,SLEEP,睡眠
48682947300986880,METAMAGIC_EXTEND,元魔法：延展
48683262825893888,METAMAGIC_QUICKEN,元魔法：加速
48683481823088640,METAMAGIC_EMPOWER,元魔法：增强
48683704901341184,METAMAGIC_PIERCING,超魔法：穿透
48683767090286592,CURSE_OF_PAIN,痛苦诅咒
48683940155658240,WITHERING,衰弱
48684150550335488,SHADOW_WALK,影步
48684233509474304,FLURRY_OF_FIST,拳风骤雨
48684550712102912,CHARMED,魅惑
48684694845165568,MISSILE_PROTECTION,导弹保护
48684888064167936,GUARDIAN_ANGEL,守护天使
48685238997389312,LONE_WOLF,孤狼
