ID,Key,String
9014297399296,TUTORIAL0,教程: 任务
9014335148032,TUTORIAL0_PAGE1,有时会有任务可供你的冒险者完成。有些是小任务，而其他则是推进主线任务所必需的。要查看所有可用的任务，请按任务按钮。
9014339342336,TUTORIAL0_PAGE2,"你派出的冒险者将自动完成任务。完成任务的成功几率取决于你冒险者的属性。

与任务不同，冒险者在执行任务时不会死亡。因此，不必担心派遣任何你喜欢的冒险者去执行任务。"
9014339342337,TUTORIAL1,教程: 基础
9014343536640,TUTORIAL1_PAGE1,在任务地图上移动，请按移动键（标准: WASD）或点击相邻的方块。
9014343536641,TUTORIAL1_PAGE2,每当你移动时，敌人也会开始移动。如果你靠近敌人，他们会开始追逐你。如果他们抓住你，你将不得不与他们战斗。如果你不想发生冲突，可以尝试跑得快一些。
9014343536642,TUTORIAL1_PAGE3,在任务地图上还会有几个可互动的物体，它们会用闪烁效果突出显示。要与它们互动，请靠近并按下互动按钮（标准：E键）或点击它们所在的方块。
9014343536643,TUTORIAL2,教程：战斗
9014343536644,TUTORIAL2_PAGE1,在<i>我们的冒险者公会</i>中，战斗是回合制的。每回合，角色将获得一个行动的机会。行动顺序（1）取决于他们的先攻值加上一个0到10之间的随机数。结果越高，角色的行动顺序越靠前。在他们的回合中，角色有一定数量的行动点（AP）（2）可以用于执行动作（3）。
9014343536645,TUTORIAL2_PAGE2,要结束你的回合，请点击“结束回合”选项（5）。每回合你还可以延迟（4）当前角色的回合，并将其放在回合顺序的最后。然而，这会使你在下一个回合顺序计算中受到50%的先攻惩罚。
9014343536646,TUTORIAL2_PAGE3,每个角色也从一个移动行动点(1)开始。这个点用于在战场上移动(2)角色。然而，如果需要，它也可以用作其他行动的行动点。
9014343536647,TUTORIAL2_PAGE4,你可以通过点击移动按钮(2)、按下相关快捷键或简单地点击一个空格来发起移动行动。
9014343536648,TUTORIAL2_PAGE5,如果你愿意，可以切换战斗日志(1)。你也可以改变可见高度(2)。
9014343536649,TUTORIAL3,教程：战斗中的勇气
9014343536650,TUTORIAL3_PAGE1,有时候，你会发现自己处于对冒险者不利的情况。但通过利用勇气系统，你的冒险者可以在关键时刻轻松扭转战局。
9014343536651,TUTORIAL3_PAGE2,每个冒险者都有一定数量的勇气点（BP）（1），可以用来购买强大的临时增益效果（2）。
9014343536652,TUTORIAL3_PAGE3,但在花费你的BP时要小心。BP过少会给冒险者带来轻微的减益效果，并在BP降至零时有可能使他们获得<i>颤抖</i>状态。同时，BP高的冒险者会获得轻微的增益效果。使用BP时，始终要考虑这种权衡。
9014343536653,TUTORIAL3_PAGE4,有几种方法可以获得BP。击败敌人、造成暴击或得到与自己关系密切的盟友的鼓励都可以获得BP。同样，受到重创或盟友死亡也会导致BP的损失。勇气值高的冒险者获得BP的速度比勇气值低的冒险者快。
9014343536654,TUTORIAL4,教程：死亡与勇气
9014343536655,TUTORIAL4_PAGE1,当冒险者的生命值（HP）降至零时，他们并不总是会自动死亡。根据他们的勇气属性，他们可能能够在致命一击中幸存，立即恢复生命。但每次致命一击后，幸存的可能性会降低。
9014343536656,TUTORIAL4_PAGE2,当冒险者的BP降至零时，他们将获得<i>震惊</i>状态。该状态会降低他们的战斗能力，并减少冒险者的最大BP。此外，处于震惊状态的冒险者将无法承受致命一击。震惊状态将持续到任务结束。
9014343536657,TUTORIAL5,教程：击退
9014343536658,TUTORIAL5_PAGE1,一些技能允许你将敌人推向某个方向。如果他们被推开并且有障碍物在路上，他们将受到碰撞伤害。伤害取决于他们被推的距离和他们的等级。
9014343536659,TUTORIAL5_PAGE2,"当一个敌人被推向另一个敌人时，他们都会受到碰撞伤害。然而，如果一个敌人被推向一个盟友，盟友将攻击该敌人，从而增加碰撞伤害。另一方面，盟友自己不会受到任何伤害。
"
9014343536660,TUTORIAL5_PAGE3,伤害增加的程度取决于冒险者（发起者）与盟友之间的关系。需要注意的是，如果盟友与发起者的关系较差或为负面关系，他们将不会攻击被推向他们的敌人，而是会自己受到碰撞伤害。
9014343536661,TUTORIAL6,教程: 露营
9014343536662,TUTORIAL6_PAGE1,"在任务地图上旅行并与敌人作战对你的冒险者来说是一项耗费精力的任务。如果耐力条耗尽，你的冒险者将处于“疲惫”状态(2)，使他们的战斗效率降低。为了恢复他们的力量，你必须搭建营地(1)。
"
9014343536663,TUTORIAL6_PAGE2,在露营期间，冒险者需要消耗补给品来恢复生命。所需的补给品数量取决于冒险者的数量和他们的特性，因此请合理规划。
9014343536664,TUTORIAL6_PAGE3,在营地模式下，冒险者可以进行行动以治疗或增强队伍。然而，这些行动受到他们可用的露营点数量的限制。不同职业有不同的露营行动可供选择。
9014343536665,TUTORIAL7,教程: 伤害计算
9014343536666,TUTORIAL7_PAGE1,"如果抵抗力高于0，则使用以下公式： 
<i>总伤害 = 伤害 * (50/(50 + 抵抗力))*(其他所有倍率的总和)</i>

如果抵抗力低于0，则使用以下公式： 
<i>总伤害 = 伤害*((100-抵抗力)/100)*(其他所有倍率的总和)</i>"
9014343536667,TUTORIAL8,教程：精英遭遇
9014343536668,TUTORIAL8_PAGE1,"有时，在任务中可以找到带有宝藏符号的怪物。这些遭遇如果你能击败它们，将会带来丰厚的宝藏。

不过要小心：这些遭遇比普通遭遇更具挑战性，并且会有一个精英敌人，视任务难度而定，可能会拥有一个或多个随机强力技能。"
9014343536669,TUTORIAL9,教程：结束一天
9014343536670,TUTORIAL9_PAGE1,每完成一个任务，时间将推进一天。然而，你并不需要每天都接受任务。如果你认为你的冒险者需要更多的休息，那么你可以通过右下角的结束一天按钮来结束这一天。
9014343536671,TUTORIAL9_PAGE2,不过请注意：每过5天将开始新的一周。在周初，Me'can的商品将重置，新冒险者将抵达酒馆，你需要支付你的冒险者。如果你无法支付，他们将非常不满。
9014343536672,TUTORIAL10,教程：接受任务
9014343536673,TUTORIAL10_PAGE1,从这一刻起，你的目标是将公会带向最终的声望！为此，你必须通过完成发送给公会的任务来建立你的声誉。要查看可用的任务，请点击任务按钮。
9014343536674,TUTORIAL10_PAGE2,"接受任务后，你将选择要派遣的冒险者，并选择他们在旅途中携带的物品。请仔细准备，否则你的冒险者将付出代价。
请注意，完成一个任务会消耗一天。
"
9014343536675,TUTORIAL10_PAGE3,在准备你的冒险者时，你还可以为即将到来的任务购买补给。可购买的补给数量取决于任务的长度。
9014343536676,TUTORIAL11,教程: 治疗
9014343536677,TUTORIAL11_PAGE1,冒险者在任务中受伤后需要时间恢复。虽然在必要时仍可以派他们去执行任务，但受伤的冒险者在任务中将会降低最大生命值。
9014343536678,TUTORIAL11_PAGE2,教堂可以强制治疗你的冒险者，但这个过程对他们来说是痛苦的，并会降低他们的心情。
9014343536679,TUTORIAL12,教程: 高度
9014343536680,TUTORIAL12_PAGE1,高度在战斗中起着重要作用。如果目标距离你太高，某些技能将无法命中。你可以在技能提示中看到高度如何影响你正在使用的技能，查看“高度容忍度”。左侧数字表示目标方块与技能能够选择的最大高度差。右侧数字与针对多个方块的技能相关，表示周围方块的高度差可以有多大才能受到技能的影响。
9014343536681,TUTORIAL12_PAGE2,如果角色被推下一个方块并且高度差大于1，他们也会受到坠落伤害。
9014343536682,TUTORIAL13,教程: 升级
