ID,Key,String
70908809216,ACHIEVEMENT_QUESTCOMPLETED_01,First Success
152236363776,ACHIEVEMENT_QUESTCOMPLETED_02,Getting the hang of it
657876488192,ACHIEVEMENT_QUESTCOMPLETED_03,First Choice Adventurer
846431424512,ACHIEVEMENT_MONSTER_KILLED_01,Monster Slayer I
1007144570880,ACHIEVEMENT_MONSTER_KILLED_02,Monster Slayer II
1121825230848,TROLL_SLAYER_ACHIEVEMENT,Troll Slayer
1257519353856,ACHIEVEMENT_RANK_01,Bronze Adventurer
1324527554560,ACHIEVEMENT_RANK_06,Diamond Adventurer
1416366034944,ACHIEVEMENT_RANK_02,Iron Adventurer
1583618101248,ACHIEVEMENT_RANK_04,Gold Adventurer
1721627480064,ACHIEVEMENT_RANK_03,Silver Adventurer
1870139396096,ACHIEVEMENT_RANK_05,Platinum Adventurer
59033893319118848,FIELD_NURSE,Field Nurse
59036621881643008,ACHIEVEMENT_PROGRESS,"Progress:
{PROGRESS}"
59037547199631360,ACHIEVEMENT_QUICKMESSAGE,{CHARACTER1} has unlocked an achievement!
59397802672689152,ACHIEVEMENT_QUESTCOMPLETED_01_DESCR,Successfully completed a Quest
59397978791514112,ACHIEVEMENT_QUESTCOMPLETED_0X_DESCR,Successfully completed {GOAL_AMOUNT} Quests
59398603117858816,FIELD_NURSE_ACHIEVEMENT_DESCR,Healed a total of {GOAL_AMOUNT} hitpoints
59398979732803584,ACHIEVEMENT_MONSTER_KILLED_0X_DESCR,Killed {GOAL_AMOUNT} enemies
59399432277233664,TROLL_SLAYER_ACHIEVEMENT_DESCR,Killed a {TROLL}
59399605279690752,ACHIEVEMENT_RANK_0X_DESCR,Reached {GOAL_RANK}
59400685212307456,ARACHNOPHOBE_ACHIEVEMENT,Arachnophobe
59404898248069120,ARACHNOPHOBE_ACHIEVEMENT_DESCR,Killed a {SPIDERQUEEN}
59406810586451968,GLORY_HUNTER_ACHIEVEMENT,Glory Hunter
59406984230637568,GLORY_HUNTER_ACHIEVEMENT_DESCR,Killed an {UNDEAD_CHAMPION}
59407431104368640,HEART_BREAKER_ACHIEVEMENT,Heart Breaker
59407574474067968,HEART_BREAKER_ACHIEVEMENT_DESCR,Killed an {ICE_BRIDE}
59408093477244928,WOOD_CUTTER_ACHIEVEMENT,Woodcutter
59408189770076160,WOOD_CUTTER_ACHIEVEMENT_DESCR,Killed an {ANCIENT_TREE_SPIRIT}
59408597972324352,LIGHTNING_ROD,Lightning Rod
59409409721143296,LIGHTNING_ROD_DESCR,Killed a {STORM_TALON}
59410051801976832,DRAGON_SLAYER_ACHIEVEMENT,Dragon Slayer
59410485002276864,DRAGON_SLAYER_ACHIEVEMENT_DESCR,Killed a Dragon
59411113883635712,PUNCHING_BAG_ACHIEVEMENT,Punching Bag
59411501235998720,PUNCHING_BAG_ACHIEVEMENT_DESCR,Suffered {GOAL_AMOUNT} Points of Damage
59412143652376576,SURVIVOR_ACHIEVEMENT,Survivor
59412354810417152,SURVIVOR_ACHIEVEMENT_DESCR,Survived {GOAL_AMOUNT} deadly hits
59412628790743040,HEDGEHOG_ACHIEVEMENT,Hedgehog
59412734629810176,HEDGEHOG_ACHIEVEMENT_DESCR,Reflected {GOAL_AMOUNT} Points of Damage
