ID,Key,String
5859606171648,TITLE0BEGINNER_RANK,{GENDER1:cond:=1?The Geomancer|=0?The Geomancer}
5859656503296,TITLE0BEGINNER_RANK_DESCR,{CHARACTER1}'s connection with the earth runs deep. {GENDER1:cond:=1?He|=0?She} possess an innate attunement to the forces of nature and easily molds the world around {GENDER1:cond:=1?him|=0?her}.
5859660697600,TITLE0INTERMEDIATE_RANK,{GENDER1:cond:=1?The Earth Shaker|=0?The Earth Shaker}
5859660697601,TITLE0INTERMEDIATE_RANK_DESCR,"{CHARACTER1} has mastered {GENDER1:cond:=1?his|=0?her} control over the earth. {GENDER1:cond:=1?He|=0?She} can create earth quakes, fissures and tremors that can shake the very foundation of the earth."
5859664891904,TITLE0END_RANK,{GENDER1:cond:=1?The Earth Sage|=0?The Earth Matriarch}
5859664891905,TITLE0END_RANK_DESCR,"{CHARACTER1} is a mage of unparalleled power and skill, whose mastery over the element of earth is the envy of all who seek to harness its might. With a single gesture, {GENDER1:cond:=1?he|=0?she} can summon earthquakes, raise mountains, and shape the very earth itself to {GENDER1:cond:=1?his|=0?her} will."
5859664891906,TITLE1BEGINNER_RANK,{GENDER1:cond:=1?The Frostweaver|=0?The Frostweaver}
5859664891907,TITLE1BEGINNER_RANK_DESCR,"{CHARACTER1} exhibits a remarkable control over the element of ice, weaving spells of ice that are beautiful to watch. {GENDER1:cond:=1?His|=0?Her} spells are as graceful as they are deadly."
5859664891908,TITLE1INTERMEDIATE_RANK,{GENDER1:cond:=1?The Ice Warlock|=0?The Ice Witch}
5859664891909,TITLE1INTERMEDIATE_RANK_DESCR,{CHARACTER1} commands a realm of icy beauty and deadly power. {GENDER1:cond:=1?His|=0?Her} power over the element of ice leaves {GENDER1:cond:=1?his|=0?her} enemies in awe.
5859664891910,TITLE1END_RANK,{GENDER1:cond:=1?The Frost Monarch|=0?The Frost Queen}
5859664891911,TITLE1END_RANK_DESCR,"{CHARACTER1} is a figure of awe-inspiring power, whose command over the element of ice is unmatched. {GENDER1:cond:=1?His|=0?Her} presence alone is enough to chill the air, and {GENDER1:cond:=1?his|=0?her} icy gaze can freeze even the bravest of hearts."
5859664891912,TITLE2BEGINNER_RANK,{GENDER1:cond:=1?The Swift Sorcerer|=0?The Swift Sorceress}
5859664891913,TITLE2BEGINNER_RANK_DESCR,"{CHARACTER1} is known to cast spells at a speed very few can match. With swift and precise movements, spells flow at once from {GENDER1:cond:=1?his|=0?her} fingertips, leaving {GENDER1:cond:=1?his|=0?her} enemies with little room to react."
5859664891914,TITLE2INTERMEDIATE_RANK,{GENDER1:cond:=1?The Fleet-Fingered Sorcerer|=0?The Fleet-Fingered Sorceress}
5859664891915,TITLE2INTERMEDIATE_RANK_DESCR,"{CHARACTER1} is a master of rapid spellcasting. {GENDER1:cond:=1?His|=0?Her} spells materialize in an instant, with hand movements too quick to follow. If the enemies think they can find an opening where spells don't rain upon them, then they're deadly wrong."
5859664891916,TITLE2END_RANK,{GENDER1:cond:=1?The Silent Magus|=0?The Silent Enchantress}
5859664891917,TITLE2END_RANK_DESCR,"{CHARACTER1} requires neither hand movements nor incantation to cast {GENDER1:cond:=1?his|=0?her} spells. With only a single thought can {GENDER1:cond:=1?he|=0?she} materialize {GENDER1:cond:=1?his|=0?her} spells. Beware not to slight {GENDER1:cond:=1?him|=0?her}, for {GENDER1:cond:=1?he|=0?she} can turn you to ashes with merely a glance."
5859664891918,TITLE3BEGINNER_RANK,{GENDER1:cond:=1?The Potion Savant|=0?The Potion Savant}
5859664891919,TITLE3BEGINNER_RANK_DESCR,{CHARACTER1} has a body that is unusually receptive to alchemical effects. Few can take advantage of the power of potions like {GENDER1:cond:=1?he|=0?she} does and even fewer can withstand their effect as much as {GENDER1:cond:=1?he|=0?she}.
5859664891920,TITLE3INTERMEDIATE_RANK,{GENDER1:cond:=1?The Mutant|=0?The Mutant}
5859664891921,TITLE3INTERMEDIATE_RANK_DESCR,"{CHARACTER1} has drunk so many potions in {GENDER1:cond:=1?his|=0?her} life that {GENDER1:cond:=1?his|=0?her} body has been permanently changed. {GENDER1:cond:=1?he|=0?she} is stronger, quicker and more durable than the common human."
5859664891922,TITLE3END_RANK,{GENDER1:cond:=1?The Mutant Alchemist|=0?The Mutant Alchemist}
5859664891923,TITLE3END_RANK_DESCR,"The Mutant Alchemist has studied and consumed the effect of every potion known to men. Forever changed, they themselves have now become a master of the art of alchemy and it is said they carry potions, whose effects only they can withstand."
5859664891924,TITLE4BEGINNER_RANK,{GENDER1:cond:=1?The Arcane Ravager|=0?The Arcane Ravager}
5859664891925,TITLE4BEGINNER_RANK_DESCR,{CHARACTER1} has become renowned for {GENDER1:cond:=1?his|=0?her} deadly mastery of the arcane. A mastery that few can match.
5859664891926,TITLE4INTERMEDIATE_RANK,{GENDER1:cond:=1?The Arcane Tempest|=0?The Arcane Tempest}
5859664891927,TITLE4INTERMEDIATE_RANK_DESCR,The Arcane Arts have always been known to be an art of deadly force. But very few prove that fact as much as {CHARACTER1}. Very few would dare to stand in {GENDER1:cond:=1?his|=0?her} way and even fewer lived to tell the tale.
5859664891928,TITLE4END_RANK,{GENDER1:cond:=1?The Arcane Annihilator|=0?The Arcane Annihilator}
5859664891929,TITLE4END_RANK_DESCR,"{CHARACTER1} is a force to be reckoned with, a mage of unparalleled power whose mastery of the arcane is absolute. With a mere gesture, {GENDER1:cond:=1?he|=0?she} can unleash spells of incredible destructive force,  laying waste to entire armies."
5859664891930,TITLE5BEGINNER_RANK,{GENDER1:cond:=1?The Butcher|=0?The Blood Maiden}
5859664891931,TITLE5BEGINNER_RANK_DESCR,{CHARACTER1} has the reputation of always leaving a trail of bloody corpses. A reputation that is feared by enemies and allies alike.
5859664891932,TITLE5INTERMEDIATE_RANK,{GENDER1:cond:=1?The Slaughterer|=0?The Slaughteress}
5859664891933,TITLE5INTERMEDIATE_RANK_DESCR,"{CHARACTER1} has aquired a fearsome reputation as a warrior that is eternally clad in the bloody color of their enemies. {GENDER1:cond:=1?He|=0?She} has become the very embodiment of the phrase ""If it can bleed, then it can die.""."
5859664891934,TITLE5END_RANK,{GENDER1:cond:=1?The Blood Reaper|=0?The Blood Reaper}
5859664891935,TITLE5END_RANK_DESCR,"{CHARACTER1} is a fearsome warrior who wields weapons stained with the blood of {GENDER1:cond:=1?his|=0?her} enemies. With each strike, {GENDER1:cond:=1?he|=0?she} inflicts deep wounds that bleed profusely, sapping {GENDER1:cond:=1?his|=0?her} enemies' strength and draining them of their life force."
5859664891936,TITLE6BEGINNER_RANK,{GENDER1:cond:=1?The Brave|=0?The Brave}
5859664891937,TITLE6BEGINNER_RANK_DESCR,"{CHARACTER1} is known to never shy away from any challenge. In moments where most would cower, {CHARACTER1} moves forward without looking back. "
5859664891938,TITLE6INTERMEDIATE_RANK,{GENDER1:cond:=1?The Lionheart|=0?The Lionheart}
5859664891939,TITLE6INTERMEDIATE_RANK_DESCR,"{CHARACTER1} does not retreat, nor will {GENDER1:cond:=1?he|=0?she} be struck in the back. No matter how bleak a situation might look, {GENDER1:cond:=1?he|=0?she} will never give up. {GENDER1:cond:=1?his|=0?her} Bravery is an inspiration to anyone who could witness it."
