ID,Key,String
118150639616,ASSIGNMENT_TITLE01,Gather Resources near Fortress
896894480384,ASSIGNMENT_FAILURE_01,Unfortunately the group couldn't find any resources.
1547582025728,ASSIGNMENT_DESCRIPTION02,Send a group of adventurers on a Teamwork-Building Exercise to improve their relationship to each other.
1891485593600,ASSIGNMENT_FAILURE_02,The exercise ended in a failure. The adventurers didn't manage to get closer to each other at all.
2298505048064,ASSIGNMENT_TITLE03,Go on Adventures
2503384215552,ASSIGNMENT_DESCRIPTION03,The easiest way for adventurers to gain Experience is to let them go and experience the world for themselves. Send the adventurers away and let them have their own adventures.
2668769816576,ASSIGNMENT_TITLE04,Find the mysterious Girl
2811984326656,ASSIGNMENT_DESCRIPTION04,A strange girl has been sighted on the roads to the Adventurer Guild and disturbing nearby travelers No travelers have been harmed so far but leaving the issue uninvestigated could raise problems later down the road. Send adventurers to investigate and find out what's really happening.
3269087965184,ASSIGNMENT_TITLE05,Merchant seeks Bodyguard
3516929388544,ASSIGNMENT_DESCRIPTION05,"A local merchant is looking for trustworthy guards for his next caravan and has made a formal request to the Adventurers Guild. The adventurers, who will be sent on this assignment, will be unavailable for a long time but the merchant offers a generous reward."
4982117216256,ASSIGNMENT_FAILURE_05,The adventurers who were sent to protect a caravan have failed their task. The caravan was attacked by forces the group couldn't handle and had to retreat. The merchant and his caravan were lost.
5400561954816,ASSIGNMENT_TITLE06,Paladin Training Regime
5568812265472,ASSIGNMENT_DESCRIPTION06,"Zoldak told you that he knows of an old forbidden training regime that can easily raise the strength and willpower of those who undergo it. He offered to use that knowledge to train one of our adventurers. When you asked him why it was forbidden, he nervously dodged the question and only remarked that the one who will be sent should have some willpower."
6357400137728,ASSIGNMENT_FAILURE_06,"{CHARACTER1} has apparently ditched the training of Zoldak and called it insane. Zoldak apologizes that he wasn't able to train the adventurer, you sent to him and promised that next time he will make sure to chain the candidate first. You decided it was better not to ask for any details."
6860888584192,ASSIGNMENT_TITLE07,Find the old Paladin
6986654789632,ASSIGNMENT_DESCRIPTION07,"Eden has asked you to find an old acquaintance of his. An old Paladin who is wandering through the lands, helping people in need. Due to his advanced age Eden can't help but worry about the old man and wants him in to stop seeking danger, hoping that the adventurers might be able to persuade the Paladin to join the Adventurer Guild as an instructor."
7209930174464,ASSIGNMENT_TITLE08,Patrol the roads
10328177094656,ASSIGNMENT_DESCRIPTION08,"The roads to the Adventurer Guild has become unsafe and not many aspiring adventurers are able to reach the Guild safely. By sending adventurers to patrol the roads for a while, we might be able to discourage the bandits from plaguing our roads."
10758248443904,ASSIGNMENT_FAILURE_08,"The adventurers returned from patrolling the roads for a few days. Unfortunately, they were unable to do much and the bandits just continued with their business."
