ID,Key,String
71988129792,ENDURANCE,Endurance
145640108032,STRENGTH,Strength
252112515072,DEXTERITY,Dexterity
362233966592,INTELLIGENCE,Intelligence
453132922880,WISDOM,Wisdom
877130919936,WILLPOWER,Willpower
61376421453606912,STRENGTH_SHORT_LABEL,STR
61376652979187712,DEXTERITY_SHORT_LABEL,DEX
61376862425952256,INTELLIGENCE_SHORT_LABEL,INT
61377079917391872,ENDURANCE_SHORT_LABEL,END
61377426211713024,WISDOM_SHORT_LABEL,WIS
61377636354732032,WILLPOWER_SHORT_LABEL,WP
61741297774604288,ENDURANCE_TOOLTIP,"Endurance is a measure of a character's health and resilience.
Every point above 5 increases the total Hitpoints by 2 and Poison Resistance by 1."
