ID,Key,String
167500820480,MAGICAL_ATTACK_BONUS_SHORT,MAB
782324460662784,PHYSICAL,Physical
783699152187392,MAGICAL,Magical
50004227727986688,ACCURACY,Accuracy
50004612857368576,CRIT,Crit
50004774400987136,DODGE,Dodge
50004871704645632,BLOCK,Block
50258828825890816,INITIATIVE,Initiative
50258921297711104,BRAVERY,Bravery
50259843595800576,PHYSICAL_ATTACK,Physical Attack
50260043236282368,MAGICAL_ATTACK,Magical Attack
50260988439465984,PHYSICAL_RESISTANCE,Physical Resistance
50264409032790016,BLEEDING_RESISTANCE,Bleeding Resistance
50264529547726848,POISON_RESISTANCE,Poison Resistance
50264657155231744,MIND_RESISTANCE,Mind Resistance
50264881726656512,LIGHTNING_RESISTANCE,Lightning Resistance
50264997460086784,EARTH_RESISTANCE,Earth Resistance
50265124153233408,FIRE_RESISTANCE,Fire Resistance
50265245624471552,ICE_RESISTANCE,Ice Resistance
50265365501874176,HOLY_RESISTANCE,Holy Resistance
50266004747358208,DARK_RESISTANCE,Dark Resistance
50266116085157888,DEATH_RESIST,Death Resist
50266465168691200,HITPOINTS,Hitpoints
50266561469911040,SP,SP
50266930887430144,MOVEMENT,Movement
50267032486055936,AP,AP
50267228519436288,HEAL_POTENCY,Heal Potency
50267299856158720,BLEED_CHANCE,Bleed Chance
50267469469618176,STUN_CHANCE,Stun Chance
50267561693974528,FIRE_POTENCY,Fire Potency
50267678249488384,LIGHTNING_POTENCY,Lightning Potency
50267790778470400,EARTH_POTENCY,Earth Potency
50267878917574656,ICE_POTENCY,Ice Potency
50267996953677824,HOLY_POTENCY,Holy Potency
50268161609469952,DARK_POTENCY,Dark Potency
50268258783105024,MAGIC_POTENCY,Magic Potency
50268434834821120,POISON_CHANCE,Poison Chance
50268551184814080,BLEEDING,Bleeding
50268641941164032,POISON,Poison
50268756156256256,HEALING_RECEIVED,Healing Received
50268841254490112,LEVEL,Level
50268958443343872,POISON_DURATION,Poison Duration
50269063514853376,BLEEDING_DURATION,Bleeding Duration
50269201163522048,PHYSICAL_PENETRATION,Physical Penetration
50269299729666048,MAGICAL_PENETRATION,Magical Penetration
50269478872584192,FIRE_PENETRATION,Fire Penetration
50269575555485696,LIGHTNING_PENETRATION,Lightning Penetration
50269722297405440,EARTH_PENETRATION,Earth Penetration
50269876551323648,ICE_PENETRATION,Ice Penetration
50270076195999744,STRENGTH_GROWTH,Strength Growth
50270242986692608,DEXTERITY_GROWTH,Dexterity Growth
50270682079989760,INTELLIGENCE_GROWTH,Intelligence Growth
50270807426764800,ENDURANCE_GROWTH,Endurance Growth
50270913286803456,WISDOM_GROWTH,Wisdom Growth
50271034858704896,WILLPOWER_GROWTH,Willpower Growth
50271187623645184,HIDDEN_TURN_DURATION,Hidden Turn Duration
50271340912873472,LIFESTEAL,Lifesteal
50271508701810688,SP_COST_ARCANE_SKILLS,SP Cost of Arcane Skills
50271639845113856,SP_COST_PHYSICAL_SKILLS,SP Cost of Physical Skills
50271734825127936,SP_COST_DIVINE_SKILLS,SP Cost of Divine Skills
50271953562275840,AP_COST_WEAPON_SKILLS,AP Cost of Weapon Skills
50272070981816320,DAMAGE_REDUCTION,Damage Reduction
50272218906529792,SP_COST_BOW_SKILLS,SP Cost Bow Skills
50272391695077376,AP_COST_FIST_SKILLS,AP Cost of Fist skills
50272527456309248,AP_COST_BOW_SKILLS,AP Cost of Bow skills
50272724131418112,MORE_REFLECTION_STACKS,more Reflection Stacks
50272866012139520,SNEAK_ATTACK_DAMAGE,Sneak Attack Damage
50273002285076480,HOSTILE_CRIT_CHANCE_REDUCTION,Hostile Crit Chance Reduction
52438439970115584,ACCURACY_TOOLTIP,"{ACCURACY} decides how well a character hits their target.
The total amount is added to the base accuracy of skills. "
52442607673839616,AIR_DAMAGE,Lightning Damage
52442685343961088,AIR_DAMAGE_RESISTANCE_TOOLTIP,How resistant this character is to {LIGHTNING_DAMAGE}. Also reduces the chance of getting shocked.
52454669422596096,DARK_DAMAGE,Dark Damage
52455248576286720,BLEED_RESISTANCE,Bleed Resistance
52455415346008064,BLEEDING_RESISTANCE_TOOLTIP,"How resistant the character is to Bleeding.
Reduces the likelihood of Bleeding."
52455693948456960,BLOCK_TOOLTIP,"How likely a character blocks a skill.
The total accuracy is reduced by this amount."
52456774304698368,BRAVERY_TOOLTIP,"{BRAVERY} is a measure for how well an Adventurer can go beyond their limit.
The higher the {BRAVERY} the more likely the Adventurer survives an otherwise deadly strike. Also increases the BP gain in battle by 1 for every 20 points."
52460837368926208,CHARISMA_TOOLTIP,"Willpower measures a character's bravery and their ability to lead.
Every point above 5 increases Bravery by 1.
Every 3 points above 5 increases Crit Chance by 1."
52756818400546816,CRIT_TOOLTIP,"Crit Chance dictates how likely a Skill critically succeeds.
Arcane and Divine Skills cannot usually crit.
Every point equals 1% and is added to the base crit chance of a Skill."
54641262434619392,DARK_RESISTANCE_TOOLTIP,How resistant this character is to Dark Damage.
54643675950387200,DEXTERITY_TOOLTIP,"Dexterity is a measure of a character's agility.
Every point above 5 increases {ACCURACY} by 1.
Every 2 points above 5 increases {DODGE} by 1.
Every 4 points above 5 increases {INITIATIVE} by 1."
54648963654914048,DODGE_TOOLTIP,"How likely a character dodges a hostile skill.
The accuracy of a skill is reduced by this amount. "
