ID,Key,String
585872871424,BACKGROUND0,"{CHARACTER1} was the daughter of a merchant family and never knew a life of conflicts before. However, on one tragic day their caravan was attacked by bandits and she lost her whole family.
Ever since that day {CHARACTER1} had difficulty to move on with her life in peace. She declined the church's offer to help her start a new life. 
Instead she became an adventurer, hoping that a life of an adventurer could help to shed some light in the dark and dreary world she has come to know."
585902231552,BACKGROUND1,"Daryl doesn't talk much about his past, saying that it isn't much of an interesting story. In general he doesn't seem like the type who easily shares or confides in other people.

All we know about Daryl that he has been living as an adventurer on his own for a while, which is quite the feat itself."
585906425856,BACKGROUND2,"Elan used to be the child of a farming family. While he has grown up with love and care, he grew up with a strong fear of leading a life that doesn't matter. Because of that he left his home to become an adventurer, much to the dismay of his family.

Elan started as an independent adventurer but due to him nearly losing his own life, he realized that the only way for him to survive long enough as an adventurer and to leave a mark in the world, was to join the Adventurer Guild. "
585906425857,BACKGROUND3,"{CHARACTER1} is someone who always associated herself with the wrong people. This started with the very people who bore her. {CHARACTER1}'s parent made her a thief when she was still a child and lived from the goods she has stolen for them.
When the guards were finally looking for them {CHARACTER1}'s parents disappeared and left their daughter behind.
Soon after, a group of thieves, who saw her potential, took her in as one of them. While {CHARACTER1} might have called them friends, the truth was that they were the same as her parents. They only cared about how they could profit from {CHARACTER1}. In a way she knew that but with nowhere else to go she decided to ignore it and did whatever the group asked of her.
She even went so far to join the Bandit King when her group got persuaded by a mysterious hooded man. Lured by the promises of fame and riches. In her time with the Bandit King she had to do things she wasn't proud of and still regrets to this day.

But when the Adventurers from the Adventurers Guild showed up, she got a chance to break off with the bandits. Now she has joined the Adventurer Guild, hoping to finally be able to live a decent life."
585906425858,BACKGROUND4,"{CHARACTER1} was only 5 when {GENDER1:cond:=1?he|=0?she} found out that {GENDER1:cond:=1?he|=0?she} was capable of the arcane arts by accidentally burning {GENDER1:cond:=1?his|=0?her} favourite toy. In a different place this might not have been much of a problem, but in {GENDER1:cond:=1?his|=0?her} remote village people were wary of those with arcane talents.
{GENDER1:cond:=1?he|=0?she} was therefore forbidden to ever to use magic again. But a child's curiosity was stronger than that.
In the years to come {GENDER1:cond:=1?he|=0?she} practiced magic in secret, growing stronger each time. But, then in {GENDER1:cond:=1?his|=0?her} adolescent years, something terrible happened. {CHARACTER1} never talked about what exactly happened. Only that {GENDER1:cond:=1?he|=0?she} could never return home again and  has since then lived the life of an adventurer."
585906425859,BACKGROUND5,"{CHARACTER1} was an orphan, who was eventually adopted by an old greyed wizard when {GENDER1:cond:=1?he|=0?she} was just but a little child. The wizard saw great potential in {CHARACTER1} and took {GENDER1:cond:=1?him|=0?her} as apprentice.                                                      
The old wizard was a strict teacher and most of {CHARACTER1}'s childhood consisted only of studying and memorizing magic spells. At the same time the wizard, who was already at an advanced age, grew older and weaker until {CHARACTER1}'s daily routine changed to {GENDER1:cond:=1?him|=0?her} taking care of the old man.
Eventually the wizard passed away and {CHARACTER1}, who was now again alone, decided to travel the world."
585906425860,BACKGROUND6,"{CHARACTER1} was once part of a group of traveling performers, who were at the same time {GENDER1:cond:=1?his|=0?her} family. They were a group of people who had no place to call home and lived by entertaining people in cities or small villages.
{CHARACTER1} was magically talented but without anyone able to mentor {GENDER1:cond:=1?him|=0?her} the best {GENDER1:cond:=1?he|=0?she} was  ever able to do, was to perform minor tricks to impress ignorant villagers. {CHARACTER1} wasn't satisfied with {GENDER1:cond:=1?his|=0?her} life. {GENDER1:cond:=1?he|=0?she} was ambitious and dreamt of being a powerful mage one day who didn't have to perform for simple folk for pocket change. When the group passed the Adventurer Guild, {CHARACTER1} knew that this was 
{GENDER1:cond:=1?his|=0?her} chance to change {GENDER1:cond:=1?his|=0?her} life completely."
585906425861,BACKGROUND7,"{CHARACTER1} was a person who never really had a home. Because {GENDER1:cond:=1?he|=0?she} was magically gifted people always eyed {GENDER1:cond:=1?him|=0?her} with suspicion. Nowadays people were much more ignorant about magic and blamed witchcraft for any bad luck that might befall on them.
A pet disappeared? A mage probably kidnapped it for experiments. The crops aren't coming in? Magic definitely polluted the earth. A husband cheated on his wife? Of course a mage manipulated him into carnal pleasure for {GENDER1:cond:=1?his|=0?her} own sick amusement.
As a result {CHARACTER1} has been falsely accused and driven away so many times in {GENDER1:cond:=1?his|=0?her} life. The first people who ever did that to {GENDER1:cond:=1?him|=0?her} was {GENDER1:cond:=1?his|=0?her} own parents.
Ironically {GENDER1:cond:=1?his|=0?her} magical gifts were also highly sought qualities for an adventurer and with no other path available, {CHARACTER1} became an adventurer."
585906425862,BACKGROUND8,"{CHARACTER1} claims to be part of an ancient mage family whose ancestry could be traced back to when the empyreans still ruled the continent. While it's hard to verify such claims, it's true that {CHARACTER1} has a decent grasp on the arcane arts and knowledge about magic that isn't widely known anymore.
Whatever the case, {CHARACTER1} became an adventurer to make a name for {GENDER1:cond:=1?himself|=0?herself}, believing that it is was {GENDER1:cond:=1?his|=0?her} rightful duty to claim fame and fortune for {GENDER1:cond:=1?his|=0?her} family.
"
585906425863,BACKGROUND9,"Not much is known about {CHARACTER1}. Nobody knows where {GENDER1:cond:=1?he|=0?she} came from or what reason {GENDER1:cond:=1?he|=0?she} had to become an adventurer. Heck, {CHARACTER1} is probably not even {GENDER1:cond:=1?his|=0?her} real name.
All we know is that {CHARACTER1} is magically adept and knows about many things that are not commonly known. {GENDER1:cond:=1?he|=0?she} sometimes even acts far older than {GENDER1:cond:=1?his|=0?her} physical appearance would otherwise suggest.
But whatever {GENDER1:cond:=1?his|=0?her} secrets are, {GENDER1:cond:=1?he|=0?she} seems determined to take them to {GENDER1:cond:=1?his|=0?her} grave.
"
585906425864,BACKGROUND10,"{CHARACTER1} was the youngest child of a hunting family. At an early age {GENDER1:cond:=1?he|=0?she} learned how to use the bow and became proficient enough to hunt even more game than {GENDER1:cond:=1?his|=0?her} elder brothers.
One day after {GENDER1:cond:=1?he|=0?she} came back from a hunt, {GENDER1:cond:=1?he|=0?she} found all {GENDER1:cond:=1?his|=0?her} family members dead and {GENDER1:cond:=1?his|=0?her} home burned. They were raided by bandits.
As revenge {GENDER1:cond:=1?he|=0?she} hunted them all down like the animals {GENDER1:cond:=1?he|=0?she} used to hunt.
Since then, unable to return to {GENDER1:cond:=1?his|=0?her} former life {GENDER1:cond:=1?he|=0?she} started {GENDER1:cond:=1?his|=0?her} life as an adventurer."
