ID,Key,String
4443831439360,CAMP_DIALOGUE1CHARACTER1_LINE1,{CHARACTER2}...Who is currently responsible for the camp fire?
4443844022272,CAMP_DIALOGUE1CHARACTER2_LINE2,I told {CHARACTER3} to take care of it.
4443844022273,CAMP_DIALOGUE1CHARACTER1_LINE3,Wait... WHAT!? You know {GENDER3:cond:=1?he|=0?she} has two left hands!
4443844022274,CAMP_DIALOGUE1CHARACTER2_LINE4,So what? What could possibly happen?
4443844022275,CAMP_DIALOGUE1CHARACTER4_LINE5,AH!!! THE FIRE!!!!!!
4443844022276,CAMP_DIALOGUE1CHARACTER3_LINE6,Oops...
4443844022277,CAMP_DIALOGUE2CHARACTER1_LINE1,What if we get ambushed tonight?
4443844022278,CAMP_DIALOGUE2CHARACTER2_LINE2,That's why we have night guards.
4443844022279,CAMP_DIALOGUE2CHARACTER1_LINE3,What if they get tired and fall asleep?
4443844022280,CAMP_DIALOGUE2CHARACTER2_LINE4,That's why we have shifts.
4443844022281,CAMP_DIALOGUE2CHARACTER1_LINE5,But what if they sneak past the guards?
4443844022282,CAMP_DIALOGUE2CHARACTER2_LINE6,Then hopefully they get to your ass first.
4443844022283,CAMP_DIALOGUE3CHARACTER3_LINE1,"{CHARACTER1}, why is {CHARACTER2} doing your chores?"
4443844022284,CAMP_DIALOGUE3CHARACTER1_LINE2,Oh that? I just told {GENDER2:cond:=1?him|=0?her} that doing my chore is so much fun that {GENDER2:cond:=1?he|=0?she} should give it a try.
4443844022285,CAMP_DIALOGUE3CHARACTER1_LINE3,Quite surpised {GENDER2:cond:=1?he|=0?she} fell for it.
4443844022286,CAMP_DIALOGUE3CHARACTER2_LINE4,{CHARACTER1}! When is the fun going to start? It's not really fun yet.
4443844022287,CAMP_DIALOGUE3CHARACTER1_LINE5,Soon buddy! Soon!
4443844022288,CAMP_DIALOGUE4CHARACTER1_LINE1,45...46...47...
4443844022289,CAMP_DIALOGUE4CHARACTER2_LINE2,Could you please stop working out? Makes it hard for me to laze around.
4443844022290,CAMP_DIALOGUE5CHARACTER1_LINE1,We will complete this Quest! Or die trying!
4443844022291,CAMP_DIALOGUE5CHARACTER2_LINE2,So dying it is...
4443844022292,CAMP_DIALOGUE6CHARACTER2_LINE1,"...then he said ""That's not my mother! That's a troll!"". Bwahahahaha!"
4443844022293,CAMP_DIALOGUE6CHARACTER1_LINE2,...I don't get it.
4443844022294,CAMP_DIALOGUE6CHARACTER2_LINE3,...I really should stop trying to tell you jokes.
4443848216576,CAMP_DIALOGUE7CHARACTER1_LINE1,Hey..HEY! Don't pass behind me!
4443848216577,CAMP_DIALOGUE7CHARACTER2_LINE2,What the hell are you paranoid about? Did you think I'd stab you in the back?
4443848216578,CAMP_DIALOGUE7CHARACTER1_LINE3,Who knows with you. I already have a hard time sleeping with you around.
4443848216579,CAMP_DIALOGUE7CHARACTER2_LINE4,"Believe me, if I come for you. You'll know it."
4443848216580,CAMP_DIALOGUE8CHARACTER1_LINE1,"You know, {CHARACTER2}. I wish sometimes I was as tall as you."
4443848216581,CAMP_DIALOGUE8CHARACTER2_LINE2,It's not that great. There's hardly a room a can stand straight or a bed I can really stretch.
4443848216582,CAMP_DIALOGUE8CHARACTER1_LINE3,"But at least people take you seriously, while around me they act like I'm a child or something."
4443848216583,CAMP_DIALOGUE8CHARACTER2_LINE4,I've always taken you seriously.
4443848216584,CAMP_DIALOGUE8CHARACTER1_LINE5,I know...and thanks for that.
4443848216585,CAMP_DIALOGUE9CHARACTER1_LINE1,"You know your kindness will kill you one day, do you?"
4443848216586,CAMP_DIALOGUE9CHARACTER2_LINE2,Where did that suddenly come from?
4443848216587,CAMP_DIALOGUE9CHARACTER1_LINE3,A few days ago I saw you helping some strangers and even followed them all by yourself. You're too trusting. What would you have done if something happened?
4443848216588,CAMP_DIALOGUE9CHARACTER2_LINE4,There was nothing to worry about. After all it seems like a good friend was looking out for me. Someone who is also kinder than {GENDER1:cond:=1?he|=0?she} might think.
4443848216589,CAMP_DIALOGUE9CHARACTER1_LINE5,*Blushing* W-what?! N-No. That wasn't why I followed...urgh...
4443848216590,CAMP_DIALOGUE9CHARACTER2_LINE6,*Smile*
4443848216591,CAMP_DIALOGUE10CHARACTER2_LINE1,Hey {CHARACTER1}!
4443848216592,CAMP_DIALOGUE10CHARACTER1_LINE2,...
4443848216593,CAMP_DIALOGUE10CHARACTER2_LINE3,{CHARACTER1}!!
4443848216594,CAMP_DIALOGUE10CHARACTER1_LINE4,...w-What? Oh {CHARACTER2}! 
4443848216595,CAMP_DIALOGUE10CHARACTER2_LINE5,What happened? I called for you several times but you just kept staring into the distance.
4443848216596,CAMP_DIALOGUE10CHARACTER1_LINE6,I...I was just remembering something...
4443848216597,CAMP_DIALOGUE10CHARACTER2_LINE7,And what would that be?
4443848216598,CAMP_DIALOGUE10CHARACTER1_LINE8,...a woman...standing before a house on a green hill.
4443848216599,CAMP_DIALOGUE10CHARACTER2_LINE9,Don't tell me you've been thinking of your sweetheart or something.
4443848216600,CAMP_DIALOGUE10CHARACTER1_LINE10,...No...I have no idea who she is...
4443848216601,CAMP_DIALOGUE11CHARACTER1_LINE1,Ferdinand: Hey Partner. I noticed you like to stab things...alot.
4443848216602,CAMP_DIALOGUE11CHARACTER1_LINE2,Ferdinand:  ...It's frankly quite unsettling for me.
4443848216603,CAMP_DIALOGUE11CHARACTER1_LINE3,Ferdinand: Maybe you could stop when they're already dead?
4443848216604,CAMP_DIALOGUE11CHARACTER1_LINE4,...
4443848216605,CAMP_DIALOGUE11CHARACTER1_LINE5,Ferdinand: *sighs*. I guess not.
4443852410880,CAMP_DIALOGUE12CHARACTER1_LINE1,I wonder how much you'd be worth if were to sell you.
4443852410881,CAMP_DIALOGUE12CHARACTER1_LINE2,Ferdinand: P-Partner! You wouldn't do that! Right?
4443852410882,CAMP_DIALOGUE12CHARACTER1_LINE3,...Of course not...
4443852410883,CAMP_DIALOGUE12CHARACTER1_LINE4,Ferdinand:Look me in the eyes when you say that!
4443852410884,CAMP_DIALOGUE12CHARACTER1_LINE5,What eyes?
4443852410885,CAMP_DIALOGUE13CHARACTER1_LINE1,"Ferdinand: You're too kind for your own good, Partner! I'm pretty sure the last beggar wasn't blind."
4443852410886,CAMP_DIALOGUE13CHARACTER1_LINE2,Why do you think that?
4443852410887,CAMP_DIALOGUE13CHARACTER1_LINE3,Ferdinand: He called out for you!
4443852410888,CAMP_DIALOGUE13CHARACTER1_LINE4,Oh...
4443852410889,CAMP_DIALOGUE14CHARACTER1_LINE1,"Ferdinand: Partner, I need to talk with you. I should have told you this much sooner..."
4443852410890,CAMP_DIALOGUE14CHARACTER1_LINE2,What's the matter? You sound serious.
4443852410891,CAMP_DIALOGUE14CHARACTER1_LINE3,Ferdinand: I don't have eyes.
4443852410892,CAMP_DIALOGUE14CHARACTER1_LINE4,"Well, duh. I know that."
4443852410893,CAMP_DIALOGUE14CHARACTER1_LINE5,Ferdinand: But I can still see...
4443852410894,CAMP_DIALOGUE14CHARACTER1_LINE6,I know that too.
4443852410895,CAMP_DIALOGUE14CHARACTER1_LINE7,"Ferdinand:...Do you? Because putting me away in a drawer, doesn't make me not see when you get visits at nights..."
4443852410896,CAMP_DIALOGUE14CHARACTER1_LINE8,Wait....
4443852410897,CAMP_DIALOGUE14CHARACTER2_LINE9,W-What did you see?!!
4443852410898,CAMP_DIALOGUE14CHARACTER1_LINE10,Ferdinand:...Everything...
4443852410899,CAMP_DIALOGUE15CHARACTER1_LINE1,Can't believe you aren't scared of ghosts.
