ID,Key,String
3186240688128,ALPHA_WOLF,Dire Alpha Wolf
3186261659648,ALPHAWOLF_VARIANT,Alpha Wolf
3186265853952,ANCIENT_TREE_SPIRIT,Ancient Tree Spirit
3186265853953,ANCIENT_WARDEN_LIGHTNING,Ancient Warden
3186265853954,ANGEL,Angel
3186265853955,APPRENTICE,Apprentice
3186265853956,ARCHER_ENEMY,Beginner Archer
3186265853957,ASSASSIN,Assassin
3186265853958,ASSASSIN_LEADER,Assassin Leader
3186265853959,BAI_BLINDFOLDED,Bai
3186265853960,BANDIT_BOMBARDIER,Bandit Bombardier
3186265853961,BANDIT_BRUTE,Bandit Brute
3186265853962,BANDIT_CROSSBOWMAN,Bandit Crossbowman
3186265853963,BANDIT_GRUNT,Bandit Grunt
3186265853964,BANDIT_KING,The Bandit King
3186265853965,BANDIT_LEADER,Bandit Leader
3186265853966,BANDIT_LEADER_TUT,Bandit Leader
3186265853967,BANDIT_MANIAC,Bandit Maniac
3186265853968,BASILISK,Basilisk
3186265853969,BASILISK_HATCHLING,Basilisk Hatchling
3186265853970,BEASTMASTER,Beastmaster
3186265853971,BEASTMASTER_ELDER,Beastmaster Elder
3186265853972,BIRD_BULL,Birdbull
3186265853973,BIRDBULL_BOSS,Bird Bull Leader
3186265853974,BOAR_BOSS,Boar
3186265853975,BODYGUARD,Bodyguard
3186265853976,BROWN_BEAR,Brown Bear
3186265853977,CHANTAY_THE_RANGER,Chantay The Ranger
3186265853978,BOAR,Crazed Boar
3186265853979,CULTIST_STANDARD,Cultist
3186265853980,DECOY,Decoy
3186265853981,DEFENDER_ENEMY,Beginner Defender
3186265853982,DEMONIC_SHRINE1,Demonic Shrine
3186265853983,DEMONIC_SHRINE_02,Demonic Shrine
3186265853984,DEMONIC_SHRINE_03,Demonic Shrine
3186265853985,DEMONIC_SHRINE_04,Demonic Shrine
3186265853986,DEMONIC_SHRINE_05,Demonic Shrine
3186265853987,DEMONIC_WITCH_BOSS,The Witch
3186265853988,DIVINE_MESSENGER,Divine Messenger
3186265853989,DRYAD,Dryad
3186265853990,EAGLE,Eagle
3186265853991,EDEN_NORA,Eden & Nora
3186265853992,LEPHOZ_ELDER,Elder
3186265853993,ENTHRALLLED_ARCHER,Enthralled Archer
3186265853994,ENTHRALLED_CLAYMORE,Enthralled Warrior
3186265853995,ENTHRALLED_DEFENDER,Enthralled Defender
3186265853996,ENTHRALLED_MAGE,Enthralled Mage
3186265853997,ENTHRALLED_PRIEST,Enthralled Priest
3186265853998,ENTHRALLED_ROGUE,Enthralled Rogue
3186265853999,EXPLOSIVE_BARRELS,Explosive Barrel
3186265854000,FIRE_ELEMENTAL,Fire Elemental
3186265854001,FRIENDLY_BEAR,Bear
3186265854002,FRIENDLY_EAGLE,Eagle
3186265854003,FRIENDLY_ALPHA_WOLF,Wolf
3186265854004,FROST_ALPHA_WOLF,Frost Alpha Wolf
3186265854005,FROST_WOLF,Frost Wolf
3186265854006,GHOST,Ghost
3186265854007,GHOUL,Ghoul
3186265854008,GIANT_ALPHA_WOLF,Giant Frost Wolf
3186265854009,GIANT_OBSIDIAN_GOLEM,Giant Obsidian Golem
