ID,Key,String
2479269777408,GUILDUPGRADE0,Alchemist Upgrade III
2479303331840,GUILDUPGRADE0_DESCR,"""I have so many new ideas but I need you to get the things on this list!"""
2479307526144,GUILDUPGRADE0_OUTCOME_DESCR,Unlocks more potions at the Alchemist.
2479307526145,GUILDUPGRADE1,Alchemy Upgrade IV
2479307526146,GUILDUPGRADE1_DESCR,""
2479307526147,GUILDUPGRADE1_OUTCOME_DESCR,""
2479307526148,GUILDUPGRADE2,Alchemy Upgrade I
2479307526149,GUILDUPGRADE2_DESCR,"""My equipment for brewing potions isn't really great.  It would be great if I can at least get moderate!"""
2479307526150,GUILDUPGRADE2_OUTCOME_DESCR,Unlocks more potions at the Alchemist.
2479307526151,GUILDUPGRADE3,Alchemy Upgrade II
2479307526152,GUILDUPGRADE3_DESCR,"""There are some potions for which we have the ingredients but not the equipment for."""
2479307526153,GUILDUPGRADE3_OUTCOME_DESCR,Unlocks more potions at the Alchemist.
2479307526154,GUILDUPGRADE4,Basic Alchemy Ingredients Delivery
2479307526155,GUILDUPGRADE4_DESCR,"""I have a contact from whom I can periodically purchase basic alchemical ingredients, if you like to buy them from me afterwards."""
2479307526156,GUILDUPGRADE4_OUTCOME_DESCR,Me'can will start selling some basic ingredients for potion crafting.
2479307526157,GUILDUPGRADE5,Basic Resources Delivery
2479307526158,GUILDUPGRADE5_DESCR,"""It will not always be possible for your adventurers to bring you the resources you might need. For a price I can bring you some common resources every week, so that you can buy whatever you're lacking."""
2479307526159,GUILDUPGRADE5_OUTCOME_DESCR,Me'can will start selling common Materials.
2479307526160,GUILDUPGRADE6,Better Rooms
2479307526161,GUILDUPGRADE6_DESCR,"""Considering that adventurers are the life blood of the Guild, we should ensure they're happy to stay with us. Therefore why don't we make their rooms a little more comfortable to live in."""
2479307526162,GUILDUPGRADE6_OUTCOME_DESCR,Adventurers gain a permanent Mood Bonus.
2479307526163,GUILDUPGRADE7,Better Rooms II
2479307526164,GUILDUPGRADE7_DESCR,"""Right now the rooms for the adventurers are still quite small and gray. It would help morale if we could give them bigger rooms and better furniture""."
2479307526165,GUILDUPGRADE7_OUTCOME_DESCR,Adventurers gain a permanent Mood Buff.
2479307526166,GUILDUPGRADE8,Better Rooms III
2479307526167,GUILDUPGRADE8_DESCR,"""At this point we shouldn't spare on any expenses when it come to the satisfactions of the adventurers. A bit of luxury should keep them happy."""
2479307526168,GUILDUPGRADE8_OUTCOME_DESCR,Adventurers gain a permanent Mood Buff.
2479307526169,GUILDUPGRADE9,Blacksmith Upgrade I
