ID,Key,String
868035871019008,HUBSCENE_EVENT1,A day with a pessimist
868035904573440,HUBSCENE_EVENT_DESCR1,{CHARACTER2} had the unfortunate opportunity to spend some time with {CHARACTER1}. Unfortunately for {GENDER2:cond:=1?him|=0?her} this was one of {CHARACTER1}'s darker days and {CHARACTER1} couldn't help but spout depressing thoughts. {CHARACTER2} wasn't a saint so it was only natural that at some point {GENDER2:cond:=1?he|=0?she} snapped at {CHARACTER1}. 
868035908767744,HUBSCENE_EVENT2,A Job well done
868035908767745,HUBSCENE_EVENT_DESCR2,After their success in their latest quest the adventurers of the party {PARTY} celebrated at the tavern with a grand feast. This will definitely improve everyone's mood.
868035912962048,HUBSCENE_EVENT3,{CHARACTER1} fell ill
868035912962049,HUBSCENE_EVENT_DESCR3,"Things got a little hectic today when {CHARACTER1} suddenly collapsed. {GENDER1:cond:=1?he|=0?she} was immediately brought to Eden in a hurry and everyone expected the worst whe {GENDER1:cond:=1?he|=0?she} started to cough blood.
 
It was very surprising to hear that {CHARACTER1} just got a cold and only has to stay in bed for a while."
868035912962050,HUBSCENE_EVENT4,Alissa
868035912962051,HUBSCENE_EVENT_DESCR4,"Alissa always struggled with the memories of her family's death. She joined the Guild in hope to find strength and no one knew if she would find what she was looking for.

However, since her Quest with the Bandit King, Alissa seemed to be more at peace. To say that she has become a cheerful girl would be an overstatement but people were able to see her smile more often than she used to.
When someone commented on her change in behaviour, she replied:

""I guess it's because after a long time, I suddenly feel hopeful about the future again."""
868035912962052,HUBSCENE_EVENT5,Arguments in the Tavern
868035912962053,HUBSCENE_EVENT_DESCR5,"Some of our Adventurers got into an argument with travellers. It seems like they made fun of the Guild and adventurers in general. Tavi was able to stop the adventurers before anything could happen but needless to say it left the adventurers in a sour mood.
As long the Guild doesn't prove itself we'll have to endure being looked down upon."
868035912962054,HUBSCENE_EVENT6,{CHARACTER1} annoys everyone
868035912962055,HUBSCENE_EVENT_DESCR6,{CHARACTER1} has always been acting somewhat arrogant so most adventurers learned to live with it. But today {CHARACTER1} seemed to be in a great mood which in turn made {GENDER1:cond:=1?him|=0?her} even more insufferable to those unlucky enough to be close to {GENDER1:cond:=1?him|=0?her}.
868035912962056,HUBSCENE_EVENT7,{CHARACTER1} is being looked down upon
868035912962057,HUBSCENE_EVENT_DESCR7,{CHARACTER1} and {CHARACTER2} had an argument today after {CHARACTER2} tried to make {CHARACTER1} {GENDER2:cond:=1?his|=0?her} gofer for the day just because {CHARACTER1} was of a lower rank than {GENDER2:cond:=1?him|=0?her}. We probably should remind {CHARACTER2} that lower ranked adventurers aren't {GENDER2:cond:=1?his|=0?her} personal servants.
868035912962058,HUBSCENE_EVENT8,{CHARACTER1} visits the tavern.
868035912962059,HUBSCENE_EVENT_DESCR8,{CHARACTER1} decided to spend the day in the tavern to cheer {GENDER1:cond:=1?himself|=0?herself} up. {GENDER1:cond:=1?he|=0?she} won't do anything else for today.
868035912962060,HUBSCENE_EVENT9,{CHARACTER1} takes time off
868035912962061,HUBSCENE_EVENT_DESCR9,"{CHARACTER1} has been in a bad mood lately and decided that {GENDER1:cond:=1?he|=0?she} will take some time off to relax.
No matter what others might say."
868035912962062,HUBSCENE_EVENT10,Bai Brawl
868035912962063,HUBSCENE_EVENT_DESCR10,"Bai has found herself a new victim with {CHARACTER1}. After a short unpleasant exchange, followed by an onesided fist fight, {CHARACTER1} was on {GENDER1:cond:=1?his|=0?her} face, now with less gold in {GENDER1:cond:=1?his|=0?her} pocket and definitely in a worse mood."
868035912962064,HUBSCENE_EVENT11,Fistfight
868035912962065,HUBSCENE_EVENT_DESCR11,"Today Falken had to break up a fight between a big group of our Adventurers. When asked why they started to brawl, none of them could really tell what started it. When the injured adventurers were all brought to Eden, he could do nothing but sigh.
At least it doesn't seem like there were any hard feelings after the fight. For now we should just consider this incident as them letting out some aggression."
868035912962066,HUBSCENE_EVENT12,Black Cats 
868035912962067,HUBSCENE_EVENT_DESCR12,"Adventurers aren't usually the superstitious type but when the Guild seems to suddenly harbor black cats in every corner you look, they can't help but to wonder if this was a sign from the gods that something bad was close to happening."
