ID,Key,String
987154518016,HEALTH_POTION,"Health Potion, Minor"
1281057787904,IRON_BREASTPLATE,Iron Breastplate
1759560765440,IRON_GREATSWORD,Iron Greatsword
2302853156864,MINOR_WARRIOR_RING,Minor Warrior Ring
4677382868992,NOVICE_GI,Novice Gi
233261540216832,HEALTH_POTION_DESCRIPTION,A simple health potion. Restores a little bit of health.
234084139700224,IRON_BREASTPLATE_DESCRIPTION,A simple Breastplate made out of iron. Provides decent protection.
234687196729344,IRON_GREATSWORD_DESCRIPTION,A cheap Greatsword made out of iron.
234881988595712,MINOR_WARRIOR_RING_DESCRIPTION,A ring with a minor enchantment to increase physical attacks of the wearer.
235348193873920,NOVICE_GI_DESCR,A ceromonial robe for martial arts beginners.
235821684658176,ADEPT_GI,Adept Gi
236056095920128,ADEPT_GI_DESCR,A robe who for those who have studied martial arts for a considerable time.
236400704131072,CLERIC_ROBE,Cleric Robe
236560905572352,CLERIC_ROBE_DESCR,A Robe typically worn by low level Practioner of the faith.
237517173329920,HIDE_ARMOR,Hide Armor
237970950885376,HIDE_ARMOR_DESCR,"An armor made of animal hides. While it doesn't provide too much protection, it doesn't hinder the movement of the wearer at all."
238242678870016,MINOR_MAGE_RING,Minor Mage Ring
238335339433984,MINOR_MAGE_RING_DESC,A ring with a minor enchantment to increase the magic of the wearer.
240039900385280,SUPPLIES,Supplies
240392960118784,SUPPLIES_DESC,Everything a party needs to survive in the wilds.
240546823966720,ADVENTURER_COAT,Adventurer Coat
240847811416064,ADVENTURER_COAT_DESCR,A coat made for adventurers.
241082549833728,BLACKSTEEL_ARMOR,Blacksteel Armor	
241233431531520,BLACKSTEEL_ARMOR_DESCR,A suit of Armor made out of Blacksteel. Provides greater Protection than Armors made out of steel. 
241542040031232,CHAIN_SHIRT,Chain Shirt
241704351207424,CHAINSHIRT_DESCR,Defensive armor made out of interlocking metal rings. It provides modest protection.
241931229499392,MASTER_ROBE,Master Robe
242078764142592,MASTER_ROBE_DESCR,A robe for masters of the martial arts.
242273430179840,MINOR_RING_OF_PROTECTION,Minor Ring of Protection
242385862692864,MINOR_RING_OF_PROTECTION_DESC,A ring with a minor enchantment to protect the wearer from physical harm.
242724569518080,PADDED_ARMOR,Padded Armour
242855519883264,PADDED_ARMOR_DESCR,A Padded Armor consisting of quilted layers of cloth and batting.
243055718207488,PLATE_ARMOUR,Plate Armour
243135774887936,PLATE_ARMOUR_DESCR,A heavy suit of amour covering the whole body. Provides great protection but hinders movement of the wearer.
243507918704640,GRAND_MASTER_ROBE,Grand Master Robe
243629503188992,GRAND_MASTER_ROBE_DESCR,A robe for those who have reached the peak of martial arts.
243838371139584,MAGE_ROBE,Mage robe
243895019409408,MAGE_ROBE_DESCR,A robe for those adept in the arcane craft. 
244040586924032,MINOR_DODGE_RING,Minor Dodge Ring
244895499325440,MINOR_DODGE_RING_DESCR,A ring with a minor enchantment to enhance the wearer's reflexes.
245040852930560,MITHRIL_ARMOR,Mithril Armor
245175590752256,MITHRIL_ARMOR_DESCR,A suit of Armor made out of Mithril. Very few weapons can penetrate its defenses.
245423201488896,MITHRIL_SUIT,Mithril Suit
245619666882560,MITHRIL_SUIT_DESCR,A suit made out of mithril and the hides of fearsome beast. This suit offers unparalleled protection while maintaining an astonishing lightness.
246083355578368,HIGH_MAGE_ROBE,Highmage Robe
246221872467968,HIGH_MAGE_ROBE_DESCR,A robe made out rare materials. Fit for powerful mages.
246403221590016,MINOR_RING_OF_ELEMENTAL_PROTECTION,Minor Ring of Elemental Protection
246867321327616,MINOR_MANA_RING,Minor Mana Ring
246992529690624,MINOR_MANA_RING_DESCR,A ring with a minor enchantment to boost the SP capacity of the wearer.
247350538702848,PRIEST_ROBE,Priest Robe
247864034758656,PRIEST_ROBE_DESCR,A Robe for a Priest. Modified to better suit travelling.
248049272000512,BISHOP_ROBE,Bishop Robe
248415187275776,BISHOP_ROBE_DESC,A robe made for highstanding members of the clergy.
248577859162112,KNIGHT_RING,Knight Ring
248676903456768,KNIGHT_RING_DESCR,A ring fit for a Knight.
248949034094592,GRAND_MAGE_ROBE,Grand Mage Robe
249131071082496,GRAND_MAGE_ROBE_DESCR,A powerful robe woven with the hides of dangerous monsters. 
249353390166016,ARCHBISHOP_ROBE,Archbishop Robe
249485439438848,ARCH_BISHOP_ROBE_DESCR,A powerful robe woven with the hides of dangerous monsters. 
249767758041088,PERMANENT_STRENGTH_POTION,Permanent Strength Potion
249877875298304,PERMANENT_STRENGTH_POTION_DESCR,A rare and hard to make Potion to increase one's strength.
608221228077056,MINOR_MAGE_POTION,Minor Mage Potion
608349687025664,MINOR_MAGE_POTION_DESCR,A magical potion which enhances the ability to cast spells slightly. 
608766084943872,MEDIUM_HEALTH_POTION,"Health Potion, Medium"
608936356909056,MEDIUM_HEALTH_POTION_DESCR,A medium sized Health Potion. Restores a decent amount of Hitpoints.
609174392049664,MEDIUM_MANA_POTION,"Mana Potion, Medium"
609466756009984,MEDIUM_MANA_POTION_DESCR,A medium sized Mana Potion. Restores a decent amount of SP.
609665222086656,MEDIUM_ATTACK_POTION,Medium Attack Potion
610022044110848,MEDIUM_ATTACK_POTION_DESCR,A potion which increases physical damage.
610473623851008,MEDIUM_DEFENSE_POTION,Medium Defense Potion
610676196151296,MEDIUM_DEFENSE_POTION_DESCR,A potion which increases physical defense.
611086638157824,MEDIUM_MAGE_POTION,Medium Mage Potion
611191340568576,MEDIUM_MAGE_POTION_DESCR,A potion which increases magical damage.
611421368782848,CAT_POTION,Cat Potion
611596409671680,CAT_POTION_DESCR,A potion which gives a person the flexibility of a cat.
611856443936768,POTION_OF_WILLPOWER,Potion of Willpower
612060920451072,POTION_OF_WILLPOWER_DESCR,A potion which helps an adventurer to steel their nerves in the face of danger.
612369784803328,PERMANENT_ENDURANCE_POTION,Permanent Endurance Potion
612662601748480,PERMANENT_POTION_OF_ENDURANCE_DESCR,A rare and hard to make Potion to increase one's endurance.
613543053266944,HOLY_BOOK,Holy Book
613664256069632,HOLY_BOOK_DESCR,A book for the faithful.
613866132115456,PERMANENT_DEXTERITY_POTION,Permanent Dexterity Potion
615320548970496,PERMANENT_DEXTERITY_POTION_DESCR,A rare and hard to make Potion to increase one's dexterity.
615470935740416,PERMANENT_INTELLIGENCE_POTION,Permanent Intelligence Potion
615648635817984,PERMANENT_INTELLIGENCE_POTION_DESCR,A rare and hard to make Potion to increase one's intelligence.
615796053020672,PERMANENT_WILLPOWER_POTION,Permanent Willpower Potion
616090283446272,PERMANENT_WILLPOWER_POTION_DESCR,A rare and hard to make Potion to increase one's willpower.
616920915021824,TRAP_DETECTING_CLASSES,Trap Detecting Glasses
616993556172800,TRAP_DETECTING_CLASSES_DESCR,Glasses that help the wearer to detect traps.
619353338712064,WATERSKIN,Waterskin
619465976745984,WATERSKIN_DESCR,"Filled with water to quench one's thirst...or throw it at somebody to make them wet. Yeah, throwing sounds better."
619727290273792,MINOR_RING_OF_INITIATIVE,Minor Ring of Initiative
619876599107584,MINOR_RING_OF_INITIATIVE_DESCR,A ring with a minor enchantment to enhance the wearer's initiative.
620045210128384,MINOR_RING_OF_RESISTANCES,Minor Ring of Resistances
