ID,Key,String
147790401536,AQUAINTANCE,Acquaintance
364870799360,FRIEND,Friend
623898431488,BEST_FRIEND,Best Friend
867654602752,LOVER,Lover
1106188865536,RIVAL,Rival
1667499986944,NEMESIS,Nemesis
164840693731328,INTERACT,Interact
164969484029952,USE_ITEM,Use Item
165117157085184,HEROIC_HIT,Heroic Hit
165581151965184,MOVE,Move
165673003028480,DELAY,Delay
170156059693056,HIDE_TALL_OBJECTS,Hide Tall Objects
170426059624448,END_TURN,End Turn
170585493508096,FLEE,Flee
170703898710016,ROTATE_SKILL,Rotate Skill
171261053276160,OPEN_MAP,Open Map
171388572700672,CHARACTER_PAGE,Character Page
171620077309952,INVENTORY,Inventory
171721038401536,FORMATION,Formation
171896771350528,CAMPING,Camping
171983585054720,OPEN_QUEST,Open Quest
172148161155072,WALK_UP,Walk Up
172413400551424,CAMERA_UP,Camera Up
172542903881728,WALK_LEFT,Walk Left
172672520458240,CAMERA_LEFT,Camera Left
172873666695168,WALK_RIGHT,Walk Right
173285773840384,CAMERA_RIGHT,Camera Right
173444939288576,WALK_DOWN,Walk Down
173741044568064,CAMERA_DOWN,Camera Down
173871378370560,CONTINUE_DIALOGUE,Continue Dialogue
174151146835968,ELEVATION_UP,Elevation Up
174456919986176,ELEVATION_DOWN,Elevation Down
174640722776064,QUICKSAVE,Quicksave
174777998151680,QUICKLOAD,Quickload
174907069468672,CONTINUE_EVENT,Continue Event
175268685582336,CYCLE,Cycle
176195211530240,WAIT,Wait
571656065945600,SWARM,Swarm
585631637868544,EVEN_MOOD,Even
585763003469824,CONTENT_MOOD,Content
585860315516928,EUPHORIC_MOOD,Euphoric
586050355236864,DISGRUNTLED_MOOD,Disgruntled
586194035314688,UNSATISFIED_MOOD,Unsatisfied
589634308313088,COMMON_RARITY,Common
589747349000192,UNCOMMON_RARITY,Uncommon
589875300438016,RARE_RARITY,Rare
590080167022592,EPIC_RARITY,Epic
590169652498432,LEGENDARY_RARITY,Legendary
594391559213056,UNKNOWN_REPUTATION,Unknown
594549957103616,BARELY_KNOWN_REPUTATION,Barely known
594872352280576,RECOGNIZED_REPUTATION,Recognized
595135687462912,ACKNOWLEDGED_REPUTATION,Acknowledged
595900250361856,RESPECTED_REPUTATION,Respected
596209366372352,WELL_KNOWN_REPUTATION,Well-Known
596582361632768,WIDELY_KNOWN_REPUTATION,Widely-Known
596733981528064,GLORIOUS_REPUTATION,Glorious
597058234781696,LEGENDARY_REPUTATION,Legendary
597144499032064,EXALTED_REPUTATION,Exalted
2489227870638080,HUNT_QUEST_TITLE,Hunt the Target
2489474810286080,CLEAR_QUEST_TITLE,Clear an area
2491859649597440,COLLECT_QUEST_TITLE,Collect items
2492934402248704,EXPLORE_QUEST_TITLE,Explore Area
2493043877777408,SURVIVAL_QUEST_TITLE,Survive Enemy Waves
2495809543114752,HEROIC_HIT_DESCR," Increase accuracy for the next skill by 30. This can stack multiple times. The hit chance can reach 100%, overriding any effects that might otherwise limit the maximum hit chance."
2496279615541248,INSTANEOUS,Beyond Limit
2496970560016384,INSTANEOUS_DESCR,Increase AP by X for this turn. Can only recover up to 6 AP per turn.
2497139657576448,HEROIC_DODGE,Heroic Dodge
2497463529148416,ADRENALINE,Adrenaline
2497547973070848,ADRENALINE_DESCR,Act first in the next round.
2497823303962624,RUSH_DESCR,Reset Movement Point
2498101721862144,DEFY,Defy
2498170252595200,DEFY_DESCR,Removes the <color=orange>{UNWORTY}</color> Status effect.
2499566339264512,SELFISH_CANT_SELECT,Can't select ally because Character is selfish.
2499791363674112,NO_ANIMAL_COMPANION,You already have an animal companion on the battlefield
2500052488458240,DIAMOND,Diamond
2500637069578240,PLATINUM,Platinum
2500714706145280,GOLD,Gold
2500776802816000,SILVER,Silver
2500837704110080,IRON,Iron
2500899268104192,BRONZE,Bronze
2500956654571520,COPPER,Copper
2501029689987072,WEAPON,Weapon
2501124338651136,SWORD,Sword
2501195759259648,BOW,Bow
2501260741611520,PHYSICAL,Physical
2501354765324288,ARCANE,Arcane
2501418820734976,DIVINE,Divine
2501489553477632,MELEE,Melee
2501627533496320,RANGED,Ranged
2501700807987200,SHIELD,Shield
2501770513125376,SONG,Song
2501832332972032,DAGGER,Dagger
2502873510219776,UNDEAD,Undead
2502955273981952,CORPSE,Corpse
2503015659376640,BARRICADE,Barricade
2503129790582784,ANIMAL,Animal
2503206080778240,HUMAN,Human
2503279795671040,LEPHOZ,Lephoz
2503340797628416,GOBLIN,Goblin
2503410641178624,LIZARDMEN,Lizardmen
2503489439567872,OBJECT,Object
2503554472251392,DEMON,Demon
2503612936654848,ANIMAL_COMPANION,Animal Companion
3468778276818944,ACCEPT,Accept
3469835585359872,ACHIEVEMENT_COMPLETED_TEXT,Completed
3472123603357696,ADVENTURER_GUILD_GAMETEXT,The Adventurer Guild
3472595504500736,AFFECTED_UNITS_EFFECT_TEXT,"<b>Effects</b>:
<color=orange>{EFFECT}</color>"
3472847364067328,AFFECTED_UNITS_INPATH_EFFECT_TEXT,"<b>Effects(Units in Path)</b>:
<color=orange>{EFFECT}</color>"
3474293698498560,AMBUSH_MESSAGE_TEXT,You've been ambushed!
3475361027231744,AMBUSH_TITLE_TEXT,Ambush
3475765072924672,AQUAINTANCE_STAGE_TEXT,Have become Acquaintances
3475963685801984,AQUAINTANCE_TO_FRIEND_TEXT,"{CHARACTER1} and {CHARACTER2} have steadily built up a trust and have now become friends. Amongst adventurers friendship is a valuable thing because there is nothing more reassuring than to have people around, who you can trust."
3476699257671680,AQUAINTANCE_TO_LOVER_TEXT,"It was a bit surprising for everyone but these two have become lovers now.
The other adventurers around them didn't see that coming, so the two lovebirds had to go through a lot of embarrassing questions about their relationship. Despite that they seemed very happy together. "
3477026522435584,AQUAINTANCE_TO_NEMESIS_TEXT,"Sometimes a neutral relationship tips over to one side with just a minor thing. In this case somebody probably compared the other's mother to a troll while the other was dancing on their father's grave. Whatever it was, it probably wasn't minor."
3477525602668544,AQUAINTANCE_TO_OATHSWORN_TEXT,"It seems like these two have especially hit it well. So well in fact that they apparently already consider trusting each other their deepest secrets. They might be getting ahead of themselves with that decision. 
We'll have to see how this develops."
3477955061649408,AQUAINTANCE_TO_RIVAL_TEXT,Lately when these two are together most of their conversation become arguments. Sometimes words would be thrown that are hard to take back. It's apparent to everyone that {CHARACTER1} and {CHARACTER2} don't like each other much. For now it's possible for them to work together when they have to but we have to hope that their relationship doesn't erode much further.
3478521624039424,AQUIRED_ITEMS_DESCRIPTION_TEXT,The party acquired the following items:
3478707561730048,AQUIRED_ITEMS_TITLE_TEXT,Acquired Items
3478991612579840,ARENA,Arena
3479460430909440,ARMOR_REQUIREMENT_TEXT,Armors: {ARMORS} 
3482966390902784,ATTACK_ENEMY,Attack Enemy
3483095109898240,ATTRIBUTE_REQUIREMENTS,Required {ATTRIBUTE}: {ATTR_VALUE}
3485603693760512,BATTLE,Battle
3489394962894848,CAMP,Camp
3489559912288256,CANCEL_LABEL,Cancel
3489721682399232,CANT_DELAY_ERROR,Already acted this round.
3489921029279744,CANT_FLEE,Cannot Flee
3490324613599232,CAVE,Cave
3490404385067008,CHARACTER_DIED_MESSAGE,{CHARACTER1} died.
3490570592751616,CHARACTER_IS_BUSY,Character is busy
3490705171189760,CHARACTER_RECEIVED_EXPERIENCE,{CHARACTER1} has received {AMOUNT} experience points.
3491346413162496,CHARACTERS_JOINS,The following Adventurers join the Guild:
3491765226999808,CHOOSE_A_CHARACTER,Choose a Character
3491925860454400,CLASS_REQUIREMENT_TEXT,Class: {CLASSES}
3492095142563840,CLEAR_OBSTACLE_PROMPT,Clear Obstacle
3492956614856704,CLIMB,Climb
3786574961479680,CONFIRM_LABEL,Confirm
3786641986457600,CONTINUE_LABEL,Continue
3786778217451520,COOLDOWN_ERROR,On Cooldown
3787031813459968,COUNTDOWN_STATUSEFFECT_DESCRIPTION_TEXT,In {DURATION} {DURATION:cond:=1?turn|turns}: 
3791923856707584,UNINJURED,Uninjured
3792209509781504,LIGHT_INJURY,Lightly injured
3792402057695232,MEDIUM_INJURY,Injured
3792562649206784,HEAVY_INJURY,Heavily injured
3812887717908480,NORMAL,Normal
3813096741048320,CHARACTER_STATE_DEAD,is dead
3813279751114752,CHARACTER_STATE_FLED,has fled
3813475830632448,CHARACTER_STATE_LEFT,has left
3813753338368000,CHARACTER_STATE_MOURNING,is mourning
3813917968994304,CHARACTER_STATE_UNAVAILABLE,is unavailable
3814151306514432,CHARACTER_STATE_TRAINING,is training
3814312736886784,CHARACTER_STATE_TAVERN,is visiting the Tavern
3814568476184576,CHARACTER_STATE_RESTING,is resting
3814703570522112,CHARACTER_STATE_RETRAINING,is retraining
3814960886878208,CHARACTER_STATE_ASSIGNMENT,is on an assignment
3817185403113472,QUEST_SHORT,Short
3817400633823232,QUEST_MEDIUM,Medium
3817691563331584,QUEST_LONG,Long
4631856792113152,MISSING_TRAIT_TEXT,Does not have <color=orange>{TRAIT}</color>
5590077111439360,LOADINGSCREEN_TEXT0,Every Party can only have a maximum of 6 Members. Choose your members wisely so that they can deal with any situation.
5590077144993792,LOADINGSCREEN_TEXT1,Tip: Adventurers in the same Party are more likely to interact with each other.
5590077144993793,LOADINGSCREEN_TEXT2,Don't hesitate to abandon a quest when it gets dangerous. Adventurers are expensive Investments.
5590077144993794,LOADINGSCREEN_TEXT3,Did you know you can specify a specific path while moving adventurers on the Battlemap? Hold Ctrl during the move action to set waypoints.
5590077144993795,LOADINGSCREEN_TEXT4,Divine magic works differently on undead. Healing Magic actually hurts them.
5590077144993796,LOADINGSCREEN_TEXT5,Ranged skills get an accuracy penalty if you're surrounded by enemies. Try to keep your archers away from the enemy.
5590077144993797,LOADINGSCREEN_TEXT6,Height matters! Hitting an enemy below you is easier than one who is above you.
5590077144993798,LOADINGSCREEN_TEXT7,Did you know you can undo a movement by right-clicking?
5590077144993799,LOADINGSCREEN_TEXT8,"If enemies are hard to see behind terrain, try to change the visible height with the buttons on the right side of the battle screen."
5590077144993800,LOADINGSCREEN_TEXT9,Battles are too slow? You can change the speed of battle with the speed button in the left upper corner of the screen during battle. You can also bind it to a hotkey in the options menu.
5590077144993801,LOADINGSCREEN_TEXT10,Don't trust the dice? You can always see the rolls in the battle log. Look for the button on the right side.
5590077144993802,LOADINGSCREEN_TEXT11,Don't forget to use your BP in tough situations. There is no point in trying to save BP if your adventurers are about to die.
5590077144993803,LOADINGSCREEN_TEXT12,"Did you know that the local blacksmith doesn't like magic?
So no enchanted weapons here."
5665662923870208,GREAT_FOREST_NAME_TEXT,Forest
5666065392504832,ASHENLAND,Ashenland
5666388383272960,OLD_FORTRESS,Old Fortress
5666592293556224,TUNDRA,Tundra
5667939348811776,WITCH_HIDEOUT,Witch Hideout
5671592595984384,CURRENTLY_AVAILABLE_CAMPINGPOINTS,Available Points: {POINTS}
5671839497883648,DAMAGE_EVENT_RESULT,The following adventurers receive damage:
5672796948434944,DAY,Day
5672864136990720,DAY_STAMP,Day {DAYS}
5673212436189184,DAYS_SAVE_COUNTER_TEXT,Days: {DAYS}
5673711629668352,DECISION_LOSE_VIGOR,Lose {AMOUNT} stamina.
5679122046947328,DISARMING_FAILED,Your Adventurer was unable to disarm the trap.
5679279463370752,DISARM_TRAP,Disarm Trap
5679513589420032,DISCARD,Discard
5680744374374400,DUMMY_TEXT,This is a dummy Text!
5726218884124672,ENTER_LOCATION,Enter Location
5726509499060224,EQUIP,Equip
5726675929042944,EVENT_STATUSEFFECT_RESULT,The following people gain the following effects:
5729442693287936,FREEACTION_TEXT,Free Action
5744202365177856,FRONT_POSITION,Front
5744270459703296,GAINED_ITEMS_TEXT,Gained the following Items:
5744755635818496,HEALTHMORALEDAMAGE_EVENT_RESULT,The following adventurers lose health and BP:
5744830013411328,HEALTHMORALERESTORE_EVENT_RESULT,The following adventurers gain health and BP:
5746512529100800,HUBSCENE_TEXT,In the Hub
5747691568926720,IGNORE_OPTION,Ignore
5747754118582272,INSUFFICIENT_ACTIONPOINTS,Not enough AP
5747879549243392,INSUFFICIENT_MP,Not enough BP
5747974940299264,INSUFFICIENT_SP,Not enough SP
