ID,Key,String
6332019019776,MOODCHANGE0,Zoldak is insane!
6332144848896,MOODCHANGE1,"Don't worry, be happy!"
6332149043200,MOODCHANGE2,Life is pain.
6332149043201,MOODCHANGE3,I went out together with my Party for a drink!
6332149043202,MOODCHANGE4,Someone talked shit about us.
6332149043203,MOODCHANGE5,I can still hear that damn arrogant voice.
6332149043204,MOODCHANGE6,I've been promoted to the Leader of my group!
6332149043205,MOODCHANGE7,I just completed an assignment.
6332149043206,MOODCHANGE8,There is something disturbing in the air.
6332149043207,MOODCHANGE9,I got beaten up and lost money.
6332149043208,MOODCHANGE10,I like my room. It's nice.
6332149043209,MOODCHANGE11,I got a great room!
6332149043210,MOODCHANGE12,Life in the Adventurer Guild is luxurious.
6332149043211,MOODCHANGE13,I just had the most boring conversation ever!
6332149043212,MOODCHANGE14,I'm still new so I'd better not expect too much.
6332149043213,MOODCHANGE15,"Everywhere I go, people recognize me!"
6332149043214,MOODCHANGE16,I know nothing and I expect nothing.
6332149043215,MOODCHANGE17,I'm scared that I will be sent on a quest to fight bandits.
6332149043216,MOODCHANGE18,A feast was thrown in my honor! It was incredible!
6332149043217,MOODCHANGE19,What would the Guild do without me? So they better keep me happy.
6332149043218,MOODCHANGE20,Someone got dismissed without compensation.
6332149043219,MOODCHANGE21,A friend got dismissed without compensation.
6332149043220,MOODCHANGE22,My lover got dismissed without compensation!
6332149043221,MOODCHANGE23,An enemy of mine got dismissed. Great!
6332149043222,MOODCHANGE24,A very close friend of mine got dismissed without compensation.
6332149043223,MOODCHANGE25,Someone I don't like got dismissed. Who cares?
6332149043224,MOODCHANGE26,A friend of mine cheered me up.
6332149043225,MOODCHANGE27,I was forcefully healed. It was painful!
6332149043226,MOODCHANGE28,A friend died.
6332149043227,MOODCHANGE29,I still mourn someone important
6332149043228,MOODCHANGE30,A dear friend of mine has been revived! It's a miracle!
6332149043229,MOODCHANGE31,I had a great meal with the Guild Master!
6332149043230,MOODCHANGE32,I'm an excellent adventurer and the Guild needs to make it worth my time.
6332149043231,MOODCHANGE33,I'm in love!
6332149043232,MOODCHANGE34,I've done much for the Guild. I should expect something.
6332149043233,MOODCHANGE35,I'm a stupid oaf.
6332149043234,MOODCHANGE36,I've lost my position as a leader.
6332149043235,MOODCHANGE37,My Lover died!
6332149043236,MOODCHANGE38,Someone very important to me has been revived! I'm forever grateful for this miracle!
6332149043237,MOODCHANGE39,The food at the Guild is pretty good.
6332149043238,MOODCHANGE40,"I got to do some fun, painful sparring."
6332149043239,MOODCHANGE41,I was beaten senseless.
6332149043240,MOODCHANGE42,I failed my last quest. What a disgrace.
6332153237504,MOODCHANGE43,The last quest was hard work but at least I succeeded.
6332153237505,MOODCHANGE44,Strange rumors about me are floating around.
6332153237506,MOODCHANGE45,I had a nice meal with the Guild Master.
6332153237507,MOODCHANGE46,I didn't get paid!
6332153237508,MOODCHANGE47,A very close friend of mine died.
6332153237509,MOODCHANGE48,I had an unbelievably delicious meal with the Guild Master.
6332153237510,MOODCHANGE49,I got a Bonus! I'm just that valuable to the Guild!
6332153237511,MOODCHANGE50,Someone is threatening me.
6332153237512,MOODCHANGE51,No one loves me! Not even I!
