ID,Key,String
38923046912,CLEAR_QUEST_DESCRIPTION,Defeat {AMOUNT} enemy encounters.
638876291072,COLLECT_PROMPT,Collect
729003495424,COLLECT_QUEST_DESCRIPTION,Collect {AMOUNT} {ITEM}
1194118254592,COLLECT_QUESTITEM,Collect Quest Item
1938676976095232,GAMEOBJECTIVE0,Alissa's Fate
1938677001261056,GAMEOBJECTIVE1,Talk to Eden
1938677001261057,GAMEOBJECTIVE2,Talk to the grieving girl
1938677001261058,GAMEOBJECTIVE3,Wait for Alissa to make a decision.
1938677001261059,GAMEOBJECTIVE4,Anniversary Present
1938677001261060,COMPLETE_QUEST_OBJECTIVE,"Complete Quest: ""{QUEST}"""
1938677001261061,GAMEOBJECTIVE6,Astrid's Past
1938677001261063,GAMEOBJECTIVE8,Craft an Item
1938677001261064,GAMEOBJECTIVE9,Craft a Potion
1938677001261065,GAMEOBJECTIVE10,Create an Adventuring Party
1938677001261066,GAMEOBJECTIVE11,Defeat Bai in a duel
1938677001261067,GAMEOBJECTIVE12,Dragon Trouble
1938677001261069,GAMEOBJECTIVE14,Eden and Nora
1938677001261071,GAMEOBJECTIVE16,The Flower Of Eternity
1938677001261072,COMPLETE_ASSIGNMENT_OBJECTIVE,"Complete Assignment: ""{ASSIGNMENT}"""
1938677001261073,GAMEOBJECTIVE18,Keep Searching
1938677001261075,GAMEOBJECTIVE20,"Start the Story-Quest ""{QUEST}"""
1938677001261076,GAMEOBJECTIVE21,Convince the Paladin to join
1938677001261079,GAMEOBJECTIVE24,Luana's Worries
1938677001261081,GAMEOBJECTIVE26,Talk with Fiola
1938677001261082,GAMEOBJECTIVE27,Visit the Tavern and have at least 4 Adventurers.
1938677001261083,GAMEOBJECTIVE28,"Have the following items:
2 Bandages, 2 Antidotes, 2 minor Health Potions and 2 minor Mana Potions"
1938677001261084,GAMEOBJECTIVE29,Visit the Temple
1938677001261085,GAMEOBJECTIVE30,Accept your first Quest
1938677001261086,GAMEOBJECTIVE31,Visit the Blacksmith
1938677001261087,GAMEOBJECTIVE32,Visit the Training Ground
