ID,Key,String
374934319104,OVERPOWERING_STRIKE,Overpowering Strike
1437204721664,RUSTY_STRIKE,Rusty Strike
1649071599616,JAVELIN_SHOT,Javelin Shot
1941871767552,HEAVY_BOLT,Heavy Bolt
2106221375488,BLESSINGS_GHANENTA,Blessing of Ghanenta
2296844103680,POISON_DART,Poison Dart
3808735506432,CHARGE,Charge
3939161583616,BODY_SLAM,Shield Push
5191819833344,METAL_TRAP,Metal Trap
5458372046848,ATTACK_OF_OPPORTUNITY,Attack Of Opportunity
6097382649856,SPINNING_ATTACK,Spinning Attack
6239405977600,REJUVENATE,Rejuvenate
6530134159360,COVER,Cover
6855347908608,EARTH_ARMOR,Earth Armor
6983618113536,MASS_EARTH_ARMOR,Mass Earth Armor
7328754806784,STALWART_DEFENDER,Stalwart Defender
7445167714304,HOLY_FIRE,Holy Fire
7557977714688,SOOTHING_SONG,Soothing Song
7909015793664,BACKGROUND_MUSICIAN,Background Musician
8160032305152,IMPROVED_TECHNIQUES,Improved Techniques
8342270619648,FISTS_STEEL,Fists of Steel
9661467308032,MARTIAL_MASTERY,Martial Mastery
11805926862848,ARCANE_COMBAT,Arcane Combat
14018522886144,ARCANE_COMBAT_DESCR,"Every time you use physical Skills, restore SP by {POTENCY}."
395675000090624,BACKGROUND_MUSICIAN_DESCR,"Add 30% of the Bard's Willpower to any allies Attribute checks. (If there are several bards, only the one with the most willpower will be added as modifier.)

Additionally everytime a Song is played, restore a small amount of BP for all allies."
397212229283840,IMPROVED_TECHNIQUES_DESCR,Reduce the AP cost of songs by 1 and their cooldown by 2.
397579818086400,FISTS_STEEL_DESCR,Add an additional {POTENCY}% of your Strength Bonus to your Physical Attack Bonus.
398612220850176,COUNTER_DESCRIPTION,"Increase the amount of Counter per round by {POTENCY}.

Counter:
If Character gets targeted by a skill from an adjacent enemy, they will automatically attack the aggressor dealing 100% Physical Damage at 80% base Accuracy. "
399483260350464,ENCHANTED_ARMOR,Enchanted Armor
399679562166272,BLADE_IGNITION,Blade Ignition
399953299222528,KI_STRIKE,Ki Strike
400118823235584,BASIC_ELEMENTAL_SPELLS,Basic Offensive Spells
400500966273024,BASIC_ELEMENTAL_SPELLS_DESCR,A collection of basic offensive spells for novices.
400643648106496,LEGENDARY_OFFENSIVE_SPELLS,Legendary Offensive Spells
402316902772736,COMMON_SUPPORT_SPELLS,Common Support Spells
402428777443328,COMMON_SUPPORT_SPELLS_DESCR,A collection of basic support spells for novices.
402648957431808,ADVANCED_SUPPORT_SPELLS,Advanced Support Spells
402892327727104,ADVANCED_SUPPORT_SPELLS_DESCR,A collection of advanced support spells for veterans.
403424467464192,BASIC_GREATSWORD_TECHNIQUES,Basic Greatsword Techniques
403565962309632,BASIC_GREATSWORD_TECHNIQUES_DESCR,A collection of basic greatsword techniques for novices.
403701559963648,ADVANCED_GREATSWORD_TECHNIQUES,Advanced Greatsword Techniques
403861794959360,ADVANCED_GREATSWORD_TECHNIQUES_DESCR,A collection of advanced greatsword techniques for Veterans.
404318491750400,ART_OF_WAR_I,Art Of War I
404395167821824,ART_OF_WAR_I_DESCR,A collection of basic skills to take control of the battlefield.
404755068465152,ART_OF_WAR_II,Art Of War II
404894621347840,ART_OF_WAR_II_DESCR,A collection of advanced skills to take control of the battlefield.
405096254124032,ART_OF_HEALING_I,Art of Healing I
405239862898688,ART_OF_HEALING_I_DESCR,A collection of basic healing spells for novices.
405416426319872,ART_OF_HEALING_II,Art of Healing II
405527722176512,ART_OF_HEALING_II_DESCR,A collection of advanced healing spells for veterans.
406144372944896,ART_OF_PROTECTION_I,Art Of Protection I
406592177811456,ART_OF_PROTECTION_I_DESCR,A collection of basic protection spells for novices.
406712764051456,ART_OF_PROTECTION_II,Art Of Protection II
406998115135488,ART_OF_PROTECTION_II_DESCR,A collection of advanced protection spells for veterans.
407313451298816,BASIC_BOW_TECHNIQUES,Basic Bow Techniques
407453918539776,BASIC_BOW_TECHNIQUES_DESCR,A collection of basic bow techniques for novices.
407618498834432,ADVANCED_BOW_TECHNIQUES,Advanced Bow Techniques
407758555033600,ADVANCED_BOW_TECHNIQUES_DESCR,A collection of advanced bow techniques for veterans.
408167017328640,LEGENDARY_BOW_TECHNIQUES,Legendary Bow Techniques
408288614395904,LEGENDARY_BOW_TECHNIQUES_DESCR,A collection of legendary bow techniques for masters of the bow.
409087851606016,DIVINE_WRATH_I,Divine Wrath I
409379573837824,DIVINE_WRATH_I_DESCR,A collection of minor offensive divine spells for war priests.
409907116617728,BASIC_DAGGER_TECHNIQUES,Basic Dagger Techniques
410057507581952,BASIC_DAGGER_TECHNIQUES_DESCR,A collection of basic dagger techniques for novices.
410334230982656,ADVANCED_DAGGER_TECHNIQUES,Advanced Dagger Techniques
410510731489280,ADVANCED_DAGGER_TECHNIQUES_DESCR,A collection of advanced dagger techniques for veterans.
410748527554560,SONG_COLLECTION_I,Song Collection I
410858418319360,SONG_COLLECTION_I_DESCR,A collection of songs common to bards.
411035883515904,VOCAL_TRAINING,Vocal Training
