ID,Key,String
44947451904,EMPOWERED,Empowered
48224116712312832,UNTOUCHABLE,Untouchable
48227259017760768,STUNNED,Stunned
48227428564111360,TAUNTED,Taunted
48227801337073664,EXHAUSTED,Exhausted
48227951644151808,SEVERELY_EXHAUSTED,Severely Exhausted
48228440498671616,MARKED,Marked
48228507951468544,PROTECTED_AMOUNT,Protected({AMOUNT})
48228718287425536,SHAKEN,Shaken
48228989709225984,INSPIRED,Inspired
48229183465099264,UNYIELDING,Unyielding
48229388159717376,HIDDEN,Hidden
48565542880972800,BACKSTABBER,Backstabber
48565712225996800,STAGGERED,Staggered
48565947287375872,EXTENDED_RANGE,Extended Range({AMOUNT})
48646275318321152,FROZEN,Frozen
48657910300839936,PHOENIX_MINOR,Phoenix Minor
48658043755204608,VANGUARD,Vanguard
48658255789854720,REJECT_HELP,Reject Help
48658370848002048,BARRIER,Barrier
48658472685703168,TRUE_SIGHT,True Sight
48658635902849024,CHILLED,Chilled
48659136350425088,SHOCKED,Shocked
48663241529659392,ROOTED,Rooted
48664280395845632,ELITE,Elite
48664352172969984,WET,Wet
48664417071435776,OVERWATCH,Overwatch
48665606668324864,REFLECTION,Reflection({AMOUNT})
48665858196541440,EMPOWERED_AMOUNT,Empowered({AMOUNT})
48666233305731072,VULNERABLE_AMOUNT,Vulnerable({AMOUNT})
48666706045734912,WEAKENED_AMOUNT,Weakened({AMOUNT})
48666904394371072,NIGHTTIME,Nighttime
48667093305823232,MARK_OF_LILITH,Mark of Lilith
48667262957031424,SPELL_PREPARED,Spell Prepared
48667445249871872,FREEDOM_MOVEMENT,Freedom of Movement
48667564842061824,BLIND,Blind
48667644743553024,MARK_OF_BELEPHEGOR,Mark of Belephegor
48674796690378752,ADRENALINE,Adrenaline
48674890181414912,MARK_OF_BEELZEBUB,Mark of Beelzebub
48674992572764160,MARK_OF_MAMMON,Mark of Mammon
48675101712748544,MARK_OF_LUCIFER,Mark of Lucifer
48677269450690560,TERRIFIED,Terrified
48677818283757568,DEMONIC_WHISPERS,Demonic Whispers
48677968968323072,DETERMINED,Determined
48678129413033984,ANGELIC_BLESSING,Angelic Blessing
48679237334241280,REVELATION_AMOUNT,Revelation({AMOUNT})
48679451541540864,TOXIC_AMOUNT,Toxic({AMOUNT})
48680729231396864,DEMONIC_RAGE,Demonic Rage
48680864522866688,SHIELD_CHARGE,Shield Charge
48680976233959424,DRAGONIC_FURY,Dragonic Fury
48681129485438976,DRAGON_SCALE,Dragon Scale
48681244736524288,EXPOSED,Exposed
48681681489399808,CURSED_WOUND,Cursed Wound
48682494802694144,SLOWED,Slow
48682591225548800,HASTE,Haste
48682711191031808,GOLDEN_TEMPTATION,Golden Temptation
