ID,Key,String
57498010044502000,PRETTY_SIMPLE_EFFECT,"Increases the amount of BP gained through this adventurer by {POTENCY}%.
More likely to become a romance interest. "
57498550954528800,SCARED_FIRE_EFFECT,"Everytime this character receives or causes fire damage, they lose BP."
57498843054247900,TALENTED_EFFECT,Growth of Talents are increased by {POTENCY}. (Character is guaranteed at least 2 Talents if they're not scouted).
57499251403296800,KIND_EFFECT,Heal- and BP-effects caused by this Character are {POTENCY}% stronger.
57499510162493400,BORN_LEADER_EFFECT,"If character is the leader of the party, increase Chain Attack Chance by {POTENCY}%.
(Needs the Party Leader Upgrade and the group that is on the quest has to be the party the character is leading)"
57499742526935000,CREATIVE_EFFECT,+2 Modifier on all Attribute Checks
57499882021097500,GREED_EFFECT,Wage is increased by 50% but find 20% more loot during quests.
57500498902552600,SADIST_EFFECT,Character will always gain {POTENCY} BP on damaging an enemy(Amount is not influenced by bravery).  Has a chance to lose BP if they haven't damaged anyone in a round.
57501586812735500,IRON_SKIN_EFFECT,Suffers {POTENCY}% more damage from Arcane skills.
57501862449811500,LUCKY_EFFECT,Increases the total value of Loot found by {POTENCY}%
57502045631844400,BORING_EFFECT,More likely to have negative Relationship Events with other characters.
57502347500097500,OPTIMIST_EFFECT,Permanent Positive Moodbuff.
57502479872331800,PESSIMIST_EFFECT,Permanent Mood Debuff
57502716070367200,POPULAR_EFFECT,More likely to have positive Relationship Events with other characters.
57503126281687000,ASCETIC_EFFECT,Does not consume any supplies during camping.
57503246289113100,PACIFIST_EFFECT,"Everytime the character causes damage, they lose BP. Buff effects cast by this character, last 1 turn longer."
57503466095808500,FAST_LEARNER_EFFECT,Earns {POTENCY}% more Experience Points.
57503639052128300,SELFISH_EFFECT,Doesn't lose BP when allies get critted or die. However cannot target allies with any skills or items unless they're best friends or lovers(Allies are still affected by AoE-Skills).
57503879335415800,BELEPHEGOR_EFFECT,Character will flee if health goes below 20% or if BP hits zero.
57504053680050200,TRAIT_GAIN_SKILL_EFFECT,Gains the Skill <color=orange>{SKILL}</color>
57504321972899800,ANIMAL_HATER_EFFECT,{POTENCY}% more damage against animal-like monsters.
57504518299881500,TRAIT_CLASS_CHANGE,This Character can change to the {CLASS}-Class.
57505518037405700,CORPSE_PILFERER_EFFECT,Increases the Loot Chance after a battle.
57505768156336100,CURSED_EFFECT,Character has a {POTENCY}% chance to fail to execute a skill.
57505996817207300,DEATHWISH_EFFECT,"Bravery State can never get lower than ""{NORMAL}"" and Character can never gain the {SHAKEN} status. However, there is a {POTENCY}% chance to gain the {MARKED} Status at the beginning of the turn."
57507219431657500,DETERMINED_EFFECT,Always starts a Quest {CONFIDENT}.
57508329018003500,GLUTTON_EFFECT,Consumes 1 more Supply during camping.
57508778857107500,IFRIT_EFFECT01,Gains the skill <color=orange>{SKILL}</color>. Once per battle the Character can trigger an explosion that deals fire damage to themself and all other units around them.
57509024576213000,IFRIT_EFFECT02,"Gains the skill <color=orange>{SKILL}</color>. Once per battle the Character can overheat, gaining buffs but also getting burned in the process."
57509335185395700,INTIMIDATING_EFFECT,"Every enemy in a 3-Tile-Radius whose level is lower, will have {POTENCY} less accuracy."
57510010078269400,LONE_WOLF_EFFECT,"As long there are no allies within 3 tiles, increase PAB, MAB, Accuracy, Crit, Dodge, Block, Initiative, Movement, Bravery and all resistances by {POTENCY}%."
57510305105612800,LOYAL_TO_FRIEND_EFFECT,Chain Attack Chance with Friends or higher are increased by {POTENCY}%.
57510459959316500,MAGICALLY_DEAF_EFFECT,Character cannot learn arcane or divine Skills
57510656395350000,MERCHANT_EYE_EFFECT,Increase the value of sold loot at the end of a Quest by {POTENCY}%.
57510940412645400,ORGANIZED_EFFECT,Increases Camping Action Points by {POTENCY}.(Can stack)
57511112278446100,RATIONAL_EFFECT,Positive Relationship Events are only {POTENCY}% as effective.
57511775485988900,IMPATIENT_EFFECT,Will always act first in the first round of Combat(Unless ambushed).
57511962853937200,TRUE_LOVE_EFFECT,Chain Hit Chance with a lover is always 100%. +{POTENCY} Death Resist as long as Character has a lover.
57578068599803904,TRAIT1,Pretty
57578068629164032,TRAIT1_DESCR,{CHARACTER1} has a face that is pleasing to the eye.
57578068633358336,TRAIT2,Scared of Fire
57578068633358337,TRAIT2_DESCR,{CHARACTER1} is unusually scared of fire. 
57578068633358338,TRAIT3,Weak
57578068633358339,TRAIT3_DESCR,{CHARACTER1} has never exercised in {GENDER1:cond:=1?his|=0?her} life.
57578068633358340,TRAIT4,Arrogant
57578068633358341,TRAIT4_DESCR,{CHARACTER1} isn't arrogant. {GENDER1:cond:=1?he|=0?she} is just that damn amazing.
57578068633358342,TRAIT5,Talented
57578068633358343,TRAIT5_DESCR,{CHARACTER1} was always meant for this kind of life.
57578068633358344,TRAIT6,Kind
57578068633358345,TRAIT6_DESCR,{CHARACTER1} is a kind Soul who likes to take care of people.
57578068633358346,TRAIT7,Born Leader
57578068633358347,TRAIT7_DESCR,{CHARACTER1} was always meant to lead. 
57578068633358348,TRAIT8,Resourceful
57578068633358349,TRAIT8_DESCR,{CHARACTER1} always has the perfect idea in any situation.
57578068633358350,TRAIT9,Nimble
57578068633358351,TRAIT9_DESCR,{CHARACTER1} easily dances around dangers.
57578068633358352,TRAIT10,Former Alchemist
57578068633358353,TRAIT10_DESCR,{CHARACTER1} used to be an alchemist. But for whatever reason {GENDER1:cond:=1?he|=0?she} has given up on that life and became an adventurer instead.
57578068633358354,TRAIT11,Greedy
57578068633358355,TRAIT11_DESCR,{CHARACTER1} loves money more than {GENDER1:cond:=1?his|=0?her} fellow man.
57578068633358356,TRAIT12,Brave
57578068633358357,TRAIT12_DESCR,{CHARACTER1} has the heart of a lion. {GENDER1:cond:=1?He|=0?She} will never be found with an arrow in the back.
57578068633358358,TRAIT13,Shortsighted
57578068633358359,TRAIT13_DESCR,{CHARACTER1} should probably not handle bows.
57578068633358360,TRAIT14,Magically Talented
57578068633358361,TRAIT14_DESCR,"You're a mage, {CHARACTER1}!"
57578068633358362,TRAIT15,Sadist
57578068633358363,TRAIT15_DESCR,{CHARACTER1} loves nothing more than to inflict pain onto others. 
57578068633358364,TRAIT16,Bright
57578068633358365,TRAIT16_DESCR,{CHARACTER1} is pretty smart for an adventurer. Most are usually dumb as a brick.
57578068633358366,TRAIT17,Dumb
57578068633358367,TRAIT17_DESCR,{CHARACTER1} just thinks differently. Probably...
57578068633358368,TRAIT18,Strong
57578068633358369,TRAIT18_DESCR,Look at those biceps!
57578068633358370,TRAIT19,Iron Skin
