ID,Key,String,EventID,TranslatedString
1834454200782850,WORLDEVENT242_PAGE1,"Before the party sat a lone sunken man surrounded by a great number of corpses. Amongst them were not only the corpses of undead which have been forcefully put back to death but also the corpses of people who seemed to have been alive not too long ago. When the party asked the man what has transpired, he answered solemnly ""Those were my comrades. We were adventurers just like you and here because of a contract. Got ambushed by the dead. Now they're all dead.""

They asked him why he is still here.

""Can't leave them here."" he said quietly. It was apparent now that the man planned to die here alongside his comrades.",242,"在队伍面前坐着一个孤独的沉默男子，周围是一大堆尸体。尸体中不仅有被强行复活的亡灵，还有一些看起来不久前还活着的人。当队伍询问这个男人发生了什么时，他沉重地回答：“那些是我的战友。我们和你们一样是冒险者，因合同而来。结果被亡者伏击。现在他们都死了。”

他们问他为什么还在这里。

“不能把他们留在这里。”他低声说道。现在显而易见，这个男人打算和他的战友一起死在这里。"
1834454200782851,WORLDEVENT242_DECISION1,Try to persuade him to join the Adventurer Guild.,242,试图说服他加入冒险者公会。
1834454200782852,WORLDEVENT242_DECISION1RESULT0_PAGE1,"{CHARACTER1} tries {GENDER1:cond:=1?his|=0?her} best to persuade the lone adventurer to keep on living. {GENDER1:cond:=1?he|=0?she} asks the man what the names of his comrades were. How they met and what he liked about each of them. Then {CHARACTER1} asked the man if this is what his comrades would have wanted. 
""...No..."" he finally answered. {CHARACTER1} asked him if he would like to join the Adventurer Guild and after a long pause he finally agreed. The Party helped the man to collect the corpses of his former comrades and together they burned their corpses to keep them from turning into undeads. After a silent prayer for his comrades the man left and promised that he would go and join the Guild.",242,"{CHARACTER1} 尽力说服这个孤独的冒险者继续活下去。{GENDER1:cond:=1?他|=0?她} 问这个男人他的战友们叫什么名字。他们是怎么相遇的，以及他对每个人的喜爱之处。然后 {CHARACTER1} 问他，这是否是他的战友们所希望的。  
“……不……”他终于回答。{CHARACTER1} 问他是否愿意加入冒险者公会，经过一段长时间的沉默，他终于同意了。队伍帮助这个男人收集他已故战友的尸体，并一起火化，以防他们变成亡灵。在为他的战友默默祈祷后，这个男人离开了，并承诺会去加入公会。"
1834454200782853,WORLDEVENT242_DECISION1ALTRESULT0_PAGE1,"{CHARACTER1} tries {GENDER1:cond:=1?his|=0?her} best to persuade the lone adventurer to keep on living. {GENDER1:cond:=1?he|=0?she} tells him that he could make a name for himself in the Adventurer Guild and find new comrades. But the Adventurer didn't even seem to listen to him. Neither did he respond to anything {CHARACTER1} was saying.
In the end {CHARACTER1} couldn't persuade the lone Adventurer and the Party had no other choice but to leave the man behind.",242,"{CHARACTER1} 尽力说服这个孤独的冒险者继续活下去。{GENDER1:cond:=1?他|=0?她} 告诉他，他可以在冒险者公会中出名，并找到新的战友。但这个冒险者似乎根本没有听到他的话。{CHARACTER1} 所说的任何事情他都没有回应。  
最后，{CHARACTER1} 无法说服这个孤独的冒险者，队伍别无选择，只能把他留在身后。"
1834454200782854,WORLDEVENT242_DECISION2,Leave the man alone.,242,让这个男人独自待着。
1834454204977152,WORLDEVENT242_DECISION2RESULT0_PAGE1,"There was probably nothing the party could say to make the lone adventurer reconsider his choice. So they left him there, knowing full well that they will probably never see him again.",242,队伍可能无论说什么都无法让这个孤独的冒险者重新考虑他的选择。所以他们就这样离开了，心里清楚他们可能再也见不到他了。
1834454204977153,WORLDEVENT243_PAGE1,To their surprise the Party found a pair of children wandering around on their own yelling what sounds like a pet's name. The Party immediately rushed towards the children and urged them to lower their voices. This was no place for children and especially not a place where you should go around yelling. The Party asks the boy and the girl what they were doing in this dangerous place. They said that their dog has run away and they saw it entering this old fortress. Now they're searching for him and won't leave without their dog.,243,令他们惊讶的是，队伍发现一对孩子独自在附近游荡，喊着听起来像是宠物的名字。队伍立刻冲向孩子们，催促他们降低声音。这不是孩子们该来的地方，尤其是不能在这里大喊大叫。队伍询问男孩和女孩在这个危险的地方做什么。他们说他们的狗跑掉了，看到它进入了这座古老的堡垒。现在他们在找狗，绝不会离开没有它。
1834454204977154,WORLDEVENT243_DECISION1,Help them find their dog.,243,帮助他们找到他们的狗。
1834454204977155,WORLDEVENT243_DECISION1RESULT0_PAGE1,The Party agreed to help the children to look for their dog as long they stay right behind them. They're also not allowed to yell like that again or they will drag the kids out by force if they have to. Together they started searching for the dog and after a while they heard the faint sound of barking in the distance.,243,队伍同意帮助孩子们寻找他们的狗，只要他们紧跟在后面。他们也不允许再这样大喊，否则就会强行把孩子们拖走。于是他们开始一起寻找狗，过了一会儿，他们听到了远处微弱的吠叫声。
1834454204977156,WORLDEVENT243_DECISION2,Try to persuade them to go home.,243,试图说服他们回家。
