ID,Key,String
1834453596803072,WORLDEVENT1_PAGE1,"The Party came across a lonely camp. From the state they could tell that it had been left alone for several days now. 

However, seeing as there are still several camping supplies and belongings lying around, the owner probably didn't intend to leave the camp for too long. The Party wondered if this might be the camp of the missing person they're searching for."
1834453605191680,WORLDEVENT1_DECISION1,"See, if there is anything of value to take"
1834453609385984,WORLDEVENT1_DECISION1RESULT0_PAGE1,The Party found several items that might be of use to them.
1834453609385985,WORLDEVENT1_DECISION2,Look for clues.
1834453613580288,WORLDEVENT1_DECISION2RESULT0_PAGE1,"The Party looked around and saw if they could find anything that could identify the owner of the camp and where they might be.

Much of the things they found in the tent suggested that the owner in fact was an adventurer, or at least someone who was somewhat experienced in living outdoors. It was likely now that this was the person they were looking for.

{CHARACTER1} was able to find some tracks leading away from the camp. If they follow these tracks, they might find out what happened to the missing son."
1834453613580289,WORLDEVENT1_DECISION2ALTRESULT0_PAGE1,"The Party looked around and saw if they could find anything that could identify the owner of the camp and where they might be.

Unfortunately they weren't able to find anything that could give them any insights. For now they could only say for sure that there might be another traveller around here."
1834453613580290,WORLDEVENT1_DECISION3,Leave the Camp.
1834453613580291,WORLDEVENT1_DECISION3RESULT0_PAGE1,The Party left the Camp. There was nothing more to find here.
1834453613580292,WORLDEVENT1_DECISION4,Leave the Camp.
1834453613580293,WORLDEVENT1_DECISION4RESULT0_PAGE1,The Party left the camp for now.
1834453613580294,WORLDEVENT2_PAGE1,The Party wondered what they should do next.
1834453613580295,WORLDEVENT3_PAGE1,"The adventurers arrived at the Arena in Cragmond, where a throng of spectators had already gathered at the arena's tribunes, even though the tournament had not yet begun. These early arrivals came solely to observe the contestants before the rest of the crowd poured in.

In the arena, several parties of men and women had already assembled. Most of them were adventurers much like themselves, however with the key difference that they were unaffiliated with the Guild. Many of them either mingled with others, boasting and bragging about their prowess or distanced themselves from their peers to conceal their true capabilities. Among these groups, one party stood out from the rest. Their equipment gleamed with the highest quality that money could buy, matched only by the radiant confidence they exuded—a confidence that could only be acquired through years of battle-hardened experience. It was evident to the adventurers that these individuals were Falken's former comrades."
1834453617774592,WORLDEVENT3RESULT0_PAGE1,"Suddenly, a man in resplendent attire called out, his commanding voice echoing through the arena. With a graceful sweep of his hand, he introduced himself as the master of the arena and extended his gratitude to the contestants for their journey to participate in the grand tournament. With a glint of excitement in his eyes, he continued to explain that before the grand tournament could begin, every party would need to prove themselves in a series of challenges. Only those with the highest scores would earn the honor to compete in the arena.

""Get ready for the ultimate test of Strength, Dexterity, and Willpower!' he declared, a spark of anticipation in his voice. ""Only the best amongst you will earn the right to fight in our arena!'""
"
1834453617774593,WORLDEVENT4_PAGE1,"The Party found the Adventurer Daryl the Village elder was talking about. Judging from his equipment it seemed like he was somebody who favored the bow as his weapon of choice.

The young man was currently breaking up his camp. It was clear that he was about to leave the village."
1834453617774594,WORLDEVENT4_PAGE2,"""I guess you're the adventurers from that Guild, the villagers hired to protect them."" he said after spotting the party. ""I can pretty much guess why you're here, so let me save both of our times by giving you the same answer, I gave to the villagers:

I have no intention to throw my life away."" "
